energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-4.11505753,11.07113964,0.39643826,0.00260426,0.06804952,8.45057918,7.02277915,4.11558621
-4.10905453,11.10720551,0.40210799,0.00266778,0.07055325,8.45942970,7.02477474,4.11007914
-4.10305153,11.11141920,0.40612232,0.00272902,0.07292275,8.44429695,7.00604998,4.09361518
-4.09704852,11.08425539,0.40849085,0.00278735,0.07512991,8.40575858,6.96745491,4.06663700
-4.09104552,11.02637654,0.40925285,0.00284216,0.07714874,8.34450857,6.90992862,4.02958997
-4.08504252,10.93860159,0.40847397,0.00289282,0.07895579,8.26133029,6.83446279,3.98290918
-4.07903952,10.82188275,0.40624240,0.00293874,0.08053060,8.15707697,6.74207323,3.92701265
-4.07303652,10.67729136,0.40266452,0.00297933,0.08185615,8.03266062,6.63378066,3.86230076
-4.06703352,10.50601319,0.39786050,0.00301405,0.08291925,7.88904939,6.51060113,3.78916160
-4.06103052,10.30935259,0.39195982,0.00304239,0.08371088,7.72727284,6.37354578,3.70798134
-4.05502751,10.08874413,0.38509704,0.00306387,0.08422650,7.54843398,6.22362908,3.61915858
-4.04902451,9.84576972,0.37740795,0.00307809,0.08446624,7.35372620,6.06188379,3.52312122
-4.04302151,9.58217866,0.36902620,0.00308474,0.08443501,7.14445288,5.88938079,3.42034442
-4.03701851,9.29990781,0.36008054,0.00308356,0.08414257,6.92204736,5.70725131,3.31136789
-4.03101551,9.00109890,0.35069263,0.00307441,0.08360335,6.68809065,5.51670917,3.19681109
-4.02501251,8.68811043,0.34097558,0.00305726,0.08283626,6.44432473,5.31907058,3.07738505
-4.01900950,8.36352157,0.33103303,0.00303218,0.08186437,6.19265926,5.11576936,2.95389961
-4.01300650,8.03012643,0.32095881,0.00299939,0.08071436,5.93517032,4.90836576,2.82726537
-4.00700350,7.69091737,0.31083706,0.00295920,0.07941601,5.67409012,4.69854762,2.69848999
-4.00100050,7.34905713,0.30074273,0.00291209,0.07800146,5.41178729,4.48812298,2.56866875
-3.99499750,7.00783980,0.29074230,0.00285863,0.07650448,5.15073810,4.27900407,2.43896969
-3.98899450,6.67064201,0.28089475,0.00279952,0.07495962,4.89348928,4.07318291,2.31061399
-3.98299150,6.34086558,0.27125254,0.00273558,0.07340142,4.64261390,3.87269953,2.18485247
-3.97698849,6.02187409,0.26186255,0.00266769,0.07186351,4.40066196,3.67960394,2.06293921
-3.97098549,5.71692563,0.25276704,0.00259681,0.07037791,4.17010770,3.49591355,1.94610360
-3.96498249,5.42910441,0.24400438,0.00252396,0.06897426,3.95329571,3.32356779,1.83552181
-3.95897949,5.16125388,0.23560972,0.00245018,0.06767919,3.75238811,3.16438183,1.73228908
-3.95297649,4.91591397,0.22761541,0.00237649,0.06651590,3.56931465,3.02000129,1.63739365
-3.94697349,4.69526464,0.22005132,0.00230390,0.06550374,3.40572774,2.89185965,1.55169348
-3.94097049,4.50107774,0.21294496,0.00223337,0.06465803,3.26296391,2.78113995,1.47589630
-3.93496748,4.33467882,0.20632148,0.00216578,0.06399003,3.14201288,2.68874218,1.41054371
-3.92896448,4.19691981,0.20020354,0.00210189,0.06350700,3.04349531,2.61525725,1.35599959
-3.92296148,4.08816351,0.19461111,0.00204237,0.06321241,2.96764962,2.56094846,1.31244302
-3.91695848,4.00827995,0.18956116,0.00198773,0.06310629,2.91432820,2.52574091,1.27986584
-3.91095548,3.95665455,0.18506727,0.00193837,0.06318560,2.88300289,2.50921903,1.25807462
-3.90495248,3.93220770,0.18113934,0.00189450,0.06344471,2.87277950,2.51063220,1.24669691
-3.89894947,3.93342481,0.17778305,0.00185621,0.06387589,2.88242066,2.52890835,1.24519146
-3.89294647,3.95839607,0.17499954,0.00182345,0.06446974,2.91037636,2.56267496,1.25286206
-3.88694347,4.00486453,0.17278498,0.00179602,0.06521572,2.95482131,2.61028702,1.26887462
-3.88094047,4.07028133,0.17113021,0.00177361,0.06610251,3.01369804,2.66986117,1.29227705
-3.87493747,4.15186656,0.17002044,0.00175580,0.06711839,3.08476480,2.73931530,1.32202148
-3.86893447,4.24667444,0.16943512,0.00174211,0.06825156,3.16564696,2.81641268,1.35698846
-3.86293147,4.35166101,0.16934783,0.00173198,0.06949034,3.25389082,2.89880969,1.39601241
-3.85692846,4.46375310,0.16972654,0.00172484,0.07082343,3.34701854,2.98410596,1.43790802
-3.85092546,4.57991673,0.17053388,0.00172009,0.07223999,3.44258298,3.06989609,1.48149689
-3.84492246,4.69722353,0.17172791,0.00171717,0.07372981,3.53822110,3.15382147,1.52563388
-3.83891946,4.81291361,0.17326300,0.00171551,0.07528339,3.63170460,3.23362122,1.56923237
-3.83291646,4.92445318,0.17509117,0.00171465,0.07689205,3.72098665,3.30718089,1.61128803
-3.82691346,5.02958565,0.17716364,0.00171415,0.07854802,3.80424329,3.37257767,1.65090012
-3.82091046,5.12637463,0.17943277,0.00171367,0.08024454,3.87990846,3.42812097,1.68728988
-3.81490745,5.21323767,0.18185413,0.00171295,0.08197594,3.94670148,3.47238706,1.71981521
-3.80890445,5.28896953,0.18438883,0.00171183,0.08373774,4.00364617,3.50424679,1.74798118
