energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-5.03351676,1.31501345,0.02292179,0.12132680,0.01055878,0.00000000,0.43771893,0.35603679,0.00860506,0.67966594
-5.02751376,1.36664300,0.02324364,0.12653895,0.01078789,0.00000000,0.45560939,0.36841313,0.00881951,0.70652837
-5.02151076,1.42083488,0.02367039,0.13198931,0.01104069,0.00000000,0.47512130,0.38130780,0.00904951,0.73494072
-5.01550775,1.47631998,0.02417120,0.13756329,0.01130881,0.00000000,0.49582969,0.39440265,0.00928700,0.76423227
-5.00950475,1.53178785,0.02471456,0.14314161,0.01158342,0.00000000,0.51729189,0.40736910,0.00952359,0.79370892
-5.00350175,1.58592227,0.02526917,0.14860310,0.01185541,0.00000000,0.53905730,0.41987805,0.00975080,0.82267168
-4.99749875,1.63743801,0.02580476,0.15382776,0.01211573,0.00000000,0.56067780,0.43161018,0.00996028,0.85043593
-4.99149575,1.68511774,0.02629293,0.15869988,0.01235558,0.00000000,0.58171866,0.44226638,0.01014409,0.87635065
-4.98549275,1.72784738,0.02670785,0.16311122,0.01256675,0.00000000,0.60176951,0.45157767,0.01029495,0.89981706
-4.97948974,1.76464867,0.02702686,0.16696401,0.01274177,0.00000000,0.62045494,0.45931433,0.01040645,0.92030576
-4.97348674,1.79470772,0.02723104,0.17017371,0.01287421,0.00000000,0.63744450,0.46529389,0.01047329,0.93737188
-4.96748374,1.81739817,0.02730549,0.17267142,0.01295879,0.00000000,0.65246147,0.46938741,0.01049141,0.95066753
-4.96148074,1.83229844,0.02723967,0.17440578,0.01299156,0.00000000,0.66529031,0.47152409,0.01045815,0.95995119
-4.95547774,1.83920205,0.02702745,0.17534432,0.01296996,0.00000000,0.67578230,0.47169381,0.01037231,0.96509359
-4.94947474,1.83812103,0.02666708,0.17547426,0.01289286,0.00000000,0.68385919,0.46994764,0.01023418,0.96607984
-4.94347174,1.82928210,0.02616104,0.17480259,0.01276055,0.00000000,0.68951472,0.46639623,0.01004555,0.96300798
-4.93746873,1.81311614,0.02551575,0.17335557,0.01257467,0.00000000,0.69281388,0.46120623,0.00980962,0.95608381
-4.93146573,1.79024137,0.02474117,0.17117764,0.01233815,0.00000000,0.69388992,0.45459497,0.00953092,0.94561238
-4.92546273,1.76144104,0.02385036,0.16832969,0.01205502,0.00000000,0.69293914,0.44682354,0.00921516,0.93198655
-4.91945973,1.72763666,0.02285889,0.16488697,0.01173028,0.00000000,0.69021371,0.43818860,0.00886908,0.91567296
-4.91345673,1.68985778,0.02178432,0.16093648,0.01136971,0.00000000,0.68601269,0.42901336,0.00850026,0.89719620
-4.90745373,1.64920965,0.02064558,0.15657419,0.01097970,0.00000000,0.68067155,0.41963787,0.00811693,0.87712155
-4.90145073,1.60683976,0.01946239,0.15190200,0.01056702,0.00000000,0.67455054,0.41040921,0.00772776,0.85603712
-4.89544772,1.56390452,0.01825467,0.14702463,0.01013862,0.00000000,0.66802230,0.40167167,0.00734167,0.83453587
-4.88944472,1.52153714,0.01704207,0.14204663,0.00970151,0.00000000,0.66145921,0.39375746,0.00696765,0.81319824
-4.88344172,1.48081763,0.01584343,0.13706941,0.00926256,0.00000000,0.65522077,0.38697794,0.00661453,0.79257583
-4.87743872,1.44274566,0.01467642,0.13218860,0.00882832,0.00000000,0.64964153,0.38161583,0.00629090,0.77317663
-4.87143572,1.40821700,0.01355719,0.12749164,0.00840499,0.00000000,0.64502001,0.37791837,0.00600487,0.75545220
