energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
2.20010005,2.02793914,0.02001179,0.05881539,0.24593279,0.91982750,0.83808386,0.88647021,0.04126422,0.27263615
2.20610305,2.01173111,0.01947879,0.05846971,0.24599376,0.92349918,0.84399940,0.87302784,0.03975368,0.26757050
2.21210605,1.99592437,0.01883990,0.05826645,0.24556318,0.92539688,0.85117509,0.86173512,0.03816761,0.26198437
2.21810905,1.98145836,0.01810724,0.05825452,0.24470322,0.92584715,0.85983473,0.85305365,0.03652644,0.25605757
2.22411206,1.96927992,0.01729485,0.05848499,0.24348806,0.92521425,0.87015777,0.84741203,0.03485274,0.24997726
2.23011506,1.96030133,0.01641819,0.05900934,0.24200063,0.92388233,0.88226609,0.84518640,0.03317048,0.24393167
2.23611806,1.95535875,0.01549361,0.05987752,0.24032910,0.92223661,0.89621287,0.84668221,0.03150425,0.23810376
2.24212106,1.95517278,0.01453781,0.06113601,0.23856312,0.92064451,0.91197404,0.85211800,0.02987849,0.23266517
2.24812406,1.96031275,0.01356734,0.06282575,0.23679010,0.91943759,0.92944290,0.86161182,0.02831667,0.22777051
2.25412706,1.97116622,0.01259807,0.06498024,0.23509161,0.91889516,0.94842799,0.87517093,0.02684051,0.22355237
2.26013007,1.98791499,0.01164483,0.06762365,0.23353997,0.91923034,0.96865457,0.89268505,0.02546929,0.22011705
2.26613307,2.01051850,0.01072099,0.07076911,0.23219533,0.92057913,0.98976944,0.91392358,0.02421924,0.21754126
2.27213607,2.03870544,0.00983819,0.07441724,0.23110316,0.92299313,1.01134910,0.93853688,0.02310305,0.21586978
2.27813907,2.07197377,0.00900612,0.07855497,0.23029232,0.92643608,1.03291082,0.96606150,0.02212944,0.21511426
2.28414207,2.10959938,0.00823242,0.08315472,0.22977383,0.93078442,1.05392625,0.99592934,0.02130302,0.21525309
2.29014507,2.15065291,0.00752262,0.08817397,0.22954018,0.93583176,1.07383692,1.02748044,0.02062413,0.21623225
2.29614807,2.19402431,0.00688014,0.09355529,0.22956551,0.94129706,1.09207113,1.05997886,0.02008893,0.21796736
2.30215108,2.23845414,0.00630641,0.09922689,0.22980633,0.94683608,1.10806148,1.09263141,0.01968961,0.22034651
2.30815408,2.28257062,0.00580102,0.10510366,0.23020302,0.95205549,1.12126243,1.12460836,0.01941469,0.22323402
2.31415708,2.32493099,0.00536189,0.11108871,0.23068185,0.95652904,1.13116725,1.15506573,0.01924952,0.22647485
2.32016008,2.36406585,0.00498551,0.11707542,0.23115763,0.95981506,1.13732362,1.18316828,0.01917679,0.22989961
2.32616308,2.39852489,0.00466720,0.12294999,0.23153676,0.96147444,1.13934761,1.20811266,0.01917715,0.23332996
2.33216608,2.42692234,0.00440135,0.12859428,0.23172069,0.96108836,1.13693523,1.22914974,0.01922992,0.23658418
2.33816908,2.44798070,0.00418170,0.13388906,0.23160956,0.95827511,1.12987156,1.24560576,0.01931375,0.23948288
2.34417209,2.46057110,0.00400159,0.13871739,0.23110599,0.95270517,1.11803687,1.25690131,0.01940733,0.24185447
2.35017509,2.46374901,0.00385421,0.14296811,0.23011884,0.94411415,1.10140991,1.26256772,0.01949008,0.24354042
2.35617809,2.45678408,0.00373280,0.14653925,0.22856677,0.93231301,1.08006806,1.26226032,0.01954277,0.24440001
2.36218109,2.43918302,0.00363087,0.14934128,0.22638156,0.91719536,1.05418463,1.25576813,0.01954810,0.24431441
2.36818409,2.41070489,0.00354238,0.15129999,0.22351090,0.89874152,1.02402338,1.24301967,0.01949112,0.24319013
2.37418709,2.37136835,0.00346181,0.15235893,0.21992075,0.87701938,0.98993058,1.22408472,0.01935970,0.24096151
2.38019010,2.32145053,0.00338436,0.15248130,0.21559697,0.85218207,0.95232491,1.19917211,0.01914467,0.23759229
2.38619310,2.26147793,0.00330594,0.15165116,0.21054631,0.82446276,0.91168561,1.16862344,0.01884010,0.23307627
2.39219610,2.19220956,0.00322324,0.14987396,0.20479656,0.79416676,0.86853929,1.13290318,0.01844322,0.22743693
2.39819910,2.11461312,0.00313375,0.14717629,0.19839606,0.76166133,0.82344598,1.09258538,0.01795441,0.22072614
2.40420210,2.02983520,0.00303576,0.14360498,0.19141231,0.72736381,0.77698468,1.04833755,0.01737698,0.21302194
2.41020510,1.93916668,0.00292826,0.13922543,0.18393008,0.69172840,0.72973904,1.00090229,0.01671690,0.20442558
2.41620810,1.84400457,0.00281093,0.13411940,0.17604873,0.65523219,0.68228355,0.95107721,0.01598246,0.19505791
2.42221111,1.74581178,0.00268406,0.12838228,0.16787914,0.61836099,0.63517064,0.89969392,0.01518384,0.18505522
2.42821411,1.64607627,0.00254846,0.12211999,0.15954023,0.58159551,0.58891894,0.84759682,0.01433265,0.17456481
2.43421711,1.54627102,0.00240533,0.11544560,0.15115529,0.54539822,0.54400325,0.79562219,0.01344149,0.16374036
2.44022011,1.44781604,0.00225620,0.10847591,0.14284815,0.51020154,0.50084608,0.74457839,0.01252347,0.15273731
2.44622311,1.35204388,0.00210284,0.10132805,0.13473948,0.47639748,0.45981122,0.69522762,0.01159175,0.14170849
2.45222611,1.26016941,0.00194710,0.09411629,0.12694333,0.44432923,0.42119929,0.64826981,0.01065912,0.13080004
2.45822911,1.17326481,0.00179092,0.08694910,0.11956391,0.41428474,0.38524528,0.60432892,0.00973767,0.12014777
2.46423212,1.09224027,0.00163615,0.07992669,0.11269292,0.38649247,0.35211800,0.56394197,0.00883845,0.10987416
2.47023512,1.01783086,0.00148456,0.07313896,0.10640738,0.36111934,0.32192144,0.52755103,0.00797124,0.10008594
2.47623812,0.95058936,0.00133773,0.06666397,0.10076802,0.33827082,0.29469774,0.49549809,0.00714439,0.09087234
2.48224112,0.89088525,0.00119708,0.06056701,0.09581837,0.31799298,0.27043157,0.46802293,0.00636470,0.08230409
2.48824412,0.83890915,0.00106375,0.05490011,0.09158446,0.30027641,0.24905584,0.44526369,0.00563740,0.07443296
2.49424712,0.79468247,0.00093866,0.04970208,0.08807511,0.28506164,0.23045817,0.42726020,0.00496614,0.06729204
2.50025013,0.75807132,0.00082248,0.04499904,0.08528283,0.27224586,0.21448819,0.41395956,0.00435311,0.06089648
2.50625313,0.72880412,0.00071564,0.04080522,0.08318522,0.26169053,0.20096512,0.40522381,0.00379913,0.05524473
2.51225613,0.70649198,0.00061833,0.03712417,0.08174682,0.25322966,0.18968549,0.40083944,0.00330382,0.05032018
2.51825913,0.69065090,0.00053055,0.03395010,0.08092127,0.24667833,0.18043080,0.40052816,0.00286575,0.04609300
2.52426213,0.68072511,0.00045213,0.03126939,0.08065375,0.24184112,0.17297479,0.40395885,0.00248266,0.04252233
2.53026513,0.67611060,0.00038273,0.02906215,0.08088347,0.23852028,0.16709023,0.41076012,0.00215165,0.03955841
2.53626813,0.67617807,0.00032193,0.02730380,0.08154635,0.23652314,0.16255503,0.42053313,0.00186940,0.03714486
