energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.05752876,1.60409021,0.22928549,0.00000000,0.79517632,0.00000000,0.89556746,0.50352541
-5.05152576,1.54521013,0.22551386,0.00000000,0.75856168,0.00000000,0.86499839,0.48268069
-5.04552276,1.48314166,0.22088509,0.00000000,0.72103112,0.00000000,0.83144883,0.46132395
-5.03951976,1.41877027,0.21552131,0.00000000,0.68309968,0.00000000,0.79540766,0.43976239
-5.03351676,1.35300638,0.20956201,0.00000000,0.64527293,0.00000000,0.75740163,0.41829258
-5.02751376,1.28676324,0.20315930,0.00000000,0.60803603,0.00000000,0.71798128,0.39719468
-5.02151076,1.22093456,0.19647260,0.00000000,0.57184330,0.00000000,0.67770618,0.37672721
-5.01550775,1.15637261,0.18966303,0.00000000,0.53710871,0.00000000,0.63713010,0.35712253
-5.00950475,1.09386763,0.18288764,0.00000000,0.50419755,0.00000000,0.59678672,0.33858298
-5.00350175,1.03412910,0.17629389,0.00000000,0.47341946,0.00000000,0.55717629,0.32127787
-4.99749875,0.97776975,0.17001448,0.00000000,0.44502306,0.00000000,0.51875388,0.30534132
-4.99149575,0.92529271,0.16416280,0.00000000,0.41919243,0.00000000,0.48191947,0.29087091
-4.98549275,0.87708232,0.15882931,0.00000000,0.39604539,0.00000000,0.44701030,0.27792738
-4.97948974,0.83339902,0.15407876,0.00000000,0.37563376,0.00000000,0.41429571,0.26653521
-4.97348674,0.79437837,0.14994862,0.00000000,0.35794561,0.00000000,0.38397446,0.25668411
-4.96748374,0.76003432,0.14644857,0.00000000,0.34290925,0.00000000,0.35617461,0.24833148
-4.96148074,0.73026650,0.14356120,0.00000000,0.33039912,0.00000000,0.33095584,0.24140576
-4.95547774,0.70487134,0.14124374,0.00000000,0.32024304,0.00000000,0.30831397,0.23581051
-4.94947474,0.68355633,0.13943081,0.00000000,0.31223083,0.00000000,0.28818735,0.23142925
-4.94347174,0.66595707,0.13803808,0.00000000,0.30612384,0.00000000,0.27046484,0.22813072
-4.93746873,0.65165606,0.13696644,0.00000000,0.30166499,0.00000000,0.25499488,0.22577461
-4.93146573,0.64020268,0.13610683,0.00000000,0.29858907,0.00000000,0.24159518,0.22421729
-4.92546273,0.63113330,0.13534513,0.00000000,0.29663278,0.00000000,0.23006278,0.22331754
-4.91945973,0.62399066,0.13456721,0.00000000,0.29554409,0.00000000,0.22018375,0.22294185
-4.91345673,0.61834177,0.13366367,0.00000000,0.29509063,0.00000000,0.21174235,0.22296924
-4.90745373,0.61379339,0.13253424,0.00000000,0.29506670,0.00000000,0.20452928,0.22329513
-4.90145073,0.61000460,0.13109154,0.00000000,0.29529868,0.00000000,0.19834863,0.22383431
-4.89544772,0.60669587,0.12926423,0.00000000,0.29564855,0.00000000,0.19302347,0.22452273
-4.88944472,0.60365438,0.12699922,0.00000000,0.29601555,0.00000000,0.18839982,0.22531807
-4.88344172,0.60073548,0.12426309,0.00000000,0.29633585,0.00000000,0.18434915,0.22619903
-4.87743872,0.59786034,0.12104258,0.00000000,0.29658036,0.00000000,0.18076923,0.22716343
-4.87143572,0.59501029,0.11734432,0.00000000,0.29675098,0.00000000,0.17758373,0.22822524
-4.86543272,0.59221818,0.11319367,0.00000000,0.29687537,0.00000000,0.17474046,0.22941066
-4.85942971,0.58955755,0.10863304,0.00000000,0.29700082,0.00000000,0.17220883,0.23075368
-4.85342671,0.58713039,0.10371957,0.00000000,0.29718747,0.00000000,0.16997652,0.23229117
-4.84742371,0.58505438,0.09852250,0.00000000,0.29750143,0.00000000,0.16804588,0.23405805
-4.84142071,0.58345047,0.09312035,0.00000000,0.29800822,0.00000000,0.16643027,0.23608267
-4.83541771,0.58243172,0.08759799,0.00000000,0.29876696,0.00000000,0.16515062,0.23838297
-4.82941471,0.58209414,0.08204389,0.00000000,0.29982570,0.00000000,0.16423258,0.24096341
-4.82341171,0.58251012,0.07654756,0.00000000,0.30121821,0.00000000,0.16370430,0.24381313
-4.81740870,0.58372499,0.07119731,0.00000000,0.30296244,0.00000000,0.16359515,0.24690544
-4.81140570,0.58575689,0.06607848,0.00000000,0.30506070,0.00000000,0.16393532,0.25019862
-4.80540270,0.58859991,0.06127210,0.00000000,0.30750167,0.00000000,0.16475640,0.25363814
-4.79939970,0.59223031,0.05685395,0.00000000,0.31026393,0.00000000,0.16609276,0.25716015
-4.79339670,0.59661535,0.05289418,0.00000000,0.31332089,0.00000000,0.16798366,0.26069598
-4.78739370,0.60172403,0.04945721,0.00000000,0.31664673,0.00000000,0.17047576,0.26417746
-4.78139070,0.60753893,0.04660192,0.00000000,0.32022285,0.00000000,0.17362588,0.26754267
-4.77538769,0.61406818,0.04438214,0.00000000,0.32404439,0.00000000,0.17750358,0.27074177
-4.76938469,0.62135665,0.04284708,0.00000000,0.32812634,0.00000000,0.18219329,0.27374243
-4.76338169,0.62949521,0.04204190,0.00000000,0.33250857,0.00000000,0.18779568,0.27653456
-4.75737869,0.63862730,0.04200799,0.00000000,0.33725951,0.00000000,0.19442791,0.27913392
-4.75137569,0.64895202,0.04278310,0.00000000,0.34247793,0.00000000,0.20222253,0.28158432
-4.74537269,0.66072305,0.04440115,0.00000000,0.34829256,0.00000000,0.21132493,0.28395811
-4.73936968,0.67424315,0.04689165,0.00000000,0.35485941,0.00000000,0.22188911,0.28635497
-4.73336668,0.68985419,0.05027874,0.00000000,0.36235668,0.00000000,0.23407192,0.28889877
-4.72736368,0.70792283,0.05457986,0.00000000,0.37097749,0.00000000,0.24802577,0.29173275
-4.72136068,0.72882247,0.05980410,0.00000000,0.38092050,0.00000000,0.26389012,0.29501309
-4.71535768,0.75291215,0.06595026,0.00000000,0.39237909,0.00000000,0.28178210,0.29890125
-4.70935468,0.78051350,0.07300480,0.00000000,0.40552933,0.00000000,0.30178660,0.30355537
-4.70335168,0.81188687,0.08093975,0.00000000,0.42051764,0.00000000,0.32394646,0.30912125
-4.69734867,0.84720817,0.08971086,0.00000000,0.43744861,0.00000000,0.34825325,0.31572334
-4.69134567,0.88654746,0.09925596,0.00000000,0.45637381,0.00000000,0.37463935,0.32345631
-4.68534267,0.92985113,0.10949387,0.00000000,0.47728231,0.00000000,0.40297176,0.33237769
-4.67933967,0.97692855,0.12032399,0.00000000,0.50009348,0.00000000,0.43304831,0.34250193
-4.67333667,1.02744445,0.13162660,0.00000000,0.52465268,0.00000000,0.46459678,0.35379647
-4.66733367,1.08091793,0.14326414,0.00000000,0.55073028,0.00000000,0.49727709,0.36617991
-4.66133067,1.13672847,0.15508341,0.00000000,0.57802423,0.00000000,0.53068700,0.37952263
-4.65532766,1.19412919,0.16691875,0.00000000,0.60616633,0.00000000,0.56437121,0.39364983
-4.64932466,1.25226710,0.17859619,0.00000000,0.63473200,0.00000000,0.59783378,0.40834699
-4.64332166,1.31020983,0.18993841,0.00000000,0.66325334,0.00000000,0.63055357,0.42336747
-4.63731866,1.36697764,0.20077043,0.00000000,0.69123496,0.00000000,0.66200206,0.43844205
-4.63131566,1.42157967,0.21092571,0.00000000,0.71817187,0.00000000,0.69166305,0.45328989
-4.62531266,1.47305260,0.22025264,0.00000000,0.74356874,0.00000000,0.71905326,0.46763043
-4.61930965,1.52050011,0.22862079,0.00000000,0.76695959,0.00000000,0.74374307,0.48119569
-4.61330665,1.56313123,0.23592696,0.00000000,0.78792692,0.00000000,0.76537622,0.49374235
-4.60730365,1.60029558,0.24210051,0.00000000,0.80611950,0.00000000,0.78368771,0.50506297
-4.60130065,1.63151394,0.24710776,0.00000000,0.82126784,0.00000000,0.79851878,0.51499586
-4.59529765,1.65650237,0.25095517,0.00000000,0.83319649,0.00000000,0.80982829,0.52343308
-4.58929465,1.67518863,0.25369107,0.00000000,0.84183275,0.00000000,0.81769970,0.53032604
-4.58329165,1.68771999,0.25540588,0.00000000,0.84721104,0.00000000,0.82234312,0.53568854
-4.57728864,1.69446182,0.25623054,0.00000000,0.84947293,0.00000000,0.82409232,0.53959702
-4.57128564,1.69598683,0.25633328,0.00000000,0.84886253,0.00000000,0.82339642,0.54218792
-4.56528264,1.69305527,0.25591478,0.00000000,0.84571760,0.00000000,0.82080654,0.54365228
-4.55927964,1.68658688,0.25520181,0.00000000,0.84045661,0.00000000,0.81695790,0.54422776
-4.55327664,1.67762562,0.25443950,0.00000000,0.83356235,0.00000000,0.81254782,0.54418847
-4.54727364,1.66729865,0.25388274,0.00000000,0.82556276,0.00000000,0.80831061,0.54383300
-4.54127064,1.65677133,0.25378667,0.00000000,0.81700984,0.00000000,0.80499019,0.54347119
-4.53526763,1.64719997,0.25439701,0.00000000,0.80845750,0.00000000,0.80331160,0.54341014
-4.52926463,1.63968444,0.25594033,0.00000000,0.80043929,0.00000000,0.80395240,0.54394023
-4.52326163,1.63522243,0.25861469,0.00000000,0.79344695,0.00000000,0.80751528,0.54532152
-4.51725863,1.63466750,0.26258117,0.00000000,0.78791067,0.00000000,0.81450273,0.54777137
-4.51125563,1.63869228,0.26795649,0.00000000,0.78418179,0.00000000,0.82529506,0.55145360
-4.50525263,1.64775863,0.27480699,0.00000000,0.78251869,0.00000000,0.84013237,0.55646976
-4.49924962,1.66209576,0.28314444,0.00000000,0.78307642,0.00000000,0.85910145,0.56285288
-4.49324662,1.68168724,0.29292361,0.00000000,0.78590031,0.00000000,0.88212796,0.57056396
-4.48724362,1.70626737,0.30404190,0.00000000,0.79092395,0.00000000,0.90897438,0.57949136
-4.48124062,1.73532709,0.31634101,0.00000000,0.79797145,0.00000000,0.93924371,0.58945308
-4.47523762,1.76812914,0.32961055,0.00000000,0.80676392,0.00000000,0.97238900,0.60020193
-4.46923462,1.80373183,0.34359371,0.00000000,0.81692974,0.00000000,1.00772820,0.61143341
-4.46323162,1.84102065,0.35799443,0.00000000,0.82801841,0.00000000,1.04446404,0.62279579
-4.45722861,1.87874620,0.37248627,0.00000000,0.83951710,0.00000000,1.08170800,0.63390229
-4.45122561,1.91556726,0.38672229,0.00000000,0.85086956,0.00000000,1.11850776,0.64434463
-4.44522261,1.95009714,0.40034576,0.00000000,0.86149634,0.00000000,1.15387692,0.65370754
-4.43921961,1.98095172,0.41300143,0.00000000,0.87081573,0.00000000,1.18682612,0.66158362
-4.43321661,2.00679712,0.42434663,0.00000000,0.87826459,0.00000000,1.21639427,0.66758806
-4.42721361,2.02639555,0.43406220,0.00000000,0.88331823,0.00000000,1.24167884,0.67137245
-4.42121061,2.03864743,0.44186247,0.00000000,0.88550868,0.00000000,1.26186422,0.67263744
-4.41520760,2.04262837,0.44750431,0.00000000,0.88444071,0.00000000,1.27624691,0.67114357
-4.40920460,2.03761978,0.45079460,0.00000000,0.87980501,0.00000000,1.28425694,0.66672003
-4.40320160,2.02313219,0.45159615,0.00000000,0.87138829,0.00000000,1.28547462,0.65927107
-4.39719860,1.99892050,0.44983171,0.00000000,0.85907979,0.00000000,1.27964219,0.64877975
-4.39119560,1.96499100,0.44548603,0.00000000,0.84287430,0.00000000,1.26667007,0.63530926
-4.38519260,1.92160014,0.43860605,0.00000000,0.82287166,0.00000000,1.24663755,0.61900157
-4.37918959,1.86924544,0.42929906,0.00000000,0.79927287,0.00000000,1.21978820,0.60007378
-4.37318659,1.80864921,0.41772920,0.00000000,0.77237311,0.00000000,1.18652026,0.57881228
-4.36718359,1.74073598,0.40411239,0.00000000,0.74255211,0.00000000,1.14737246,0.55556515
-4.36118059,1.66660485,0.38870985,0.00000000,0.71026236,0.00000000,1.10300626,0.53073307
-4.35517759,1.58749780,0.37182073,0.00000000,0.67601558,0.00000000,1.05418494,0.50475914
-4.34917459,1.50476554,0.35377398,0.00000000,0.64036816,0.00000000,1.00175076,0.47811811
-4.34317159,1.41983193,0.33491977,0.00000000,0.60390595,0.00000000,0.94660090,0.45130517
-4.33716858,1.33415838,0.31562090,0.00000000,0.56722910,0.00000000,0.88966315,0.42482491
-4.33116558,1.24920917,0.29624435,0.00000000,0.53093718,0.00000000,0.83187216,0.39918049
-4.32516258,1.16641870,0.27715322,0.00000000,0.49561526,0.00000000,0.77414705,0.37486339
-4.31915958,1.08716138,0.25869929,0.00000000,0.46182097,0.00000000,0.71737090,0.35234388
