energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-4.64932466,2.06162792,-2.06162792,0.23155582,-0.23155582,0.73451730,-0.73451730,0.00005708,-0.00005708,0.21812964,-0.21812964,0.31106617,-0.31106617,0.60421037,-0.60421037,0.00399645,-0.00399645,0.64836332,-0.64836332
-4.64332166,2.11048681,-2.11048681,0.23670011,-0.23670011,0.75039099,-0.75039099,0.00007002,-0.00007002,0.23482004,-0.23482004,0.32647022,-0.32647022,0.61784752,-0.61784752,0.00437023,-0.00437023,0.64374331,-0.64374331
-4.63731866,2.16413867,-2.16413867,0.24246001,-0.24246001,0.76678769,-0.76678769,0.00008558,-0.00008558,0.25325633,-0.25325633,0.34309834,-0.34309835,0.63366906,-0.63366906,0.00478037,-0.00478037,0.63907740,-0.63907740
-4.63131566,2.22214546,-2.22214546,0.24878139,-0.24878139,0.78349498,-0.78349498,0.00010416,-0.00010416,0.27338533,-0.27338533,0.36086701,-0.36086701,0.65158751,-0.65158751,0.00522757,-0.00522757,0.63428277,-0.63428277
-4.62531266,2.28404086,-2.28404086,0.25560390,-0.25560390,0.80028782,-0.80028782,0.00012621,-0.00012621,0.29513920,-0.29513920,0.37967686,-0.37967686,0.67151804,-0.67151804,0.00571248,-0.00571248,0.62928837,-0.62928837
-4.61930965,2.34933862,-2.34933862,0.26286307,-0.26286307,0.81693161,-0.81693161,0.00015220,-0.00015220,0.31843829,-0.31843829,0.39941615,-0.39941615,0.69337922,-0.69337922,0.00623583,-0.00623583,0.62403365,-0.62403365
-4.61330665,2.41754252,-2.41754252,0.27049281,-0.27049281,0.83318618,-0.83318618,0.00018264,-0.00018264,0.34319425,-0.34319425,0.41996468,-0.41996468,0.71709369,-0.71709369,0.00679850,-0.00679850,0.61846756,-0.61846756
-4.60730365,2.48815760,-2.48815760,0.27842830,-0.27842830,0.84881069,-0.84881069,0.00021804,-0.00021804,0.36931300,-0.36931300,0.44119819,-0.44119819,0.74258852,-0.74258852,0.00740168,-0.00740168,0.61254790,-0.61254790
-4.60130065,2.56070185,-2.56070185,0.28660899,-0.28660899,0.86356937,-0.86356938,0.00025894,-0.00025894,0.39669758,-0.39669758,0.46299277,-0.46299277,0.76979517,-0.76979517,0.00804688,-0.00804688,0.60624118,-0.60624118
-4.59529765,2.63471778,-2.63471778,0.29498174,-0.29498174,0.87723776,-0.87723776,0.00030587,-0.00030587,0.42525037,-0.42525037,0.48522920,-0.48522920,0.79864887,-0.79864887,0.00873611,-0.00873611,0.59952286,-0.59952286
-4.58929465,2.70978282,-2.70978282,0.30350374,-0.30350374,0.88960919,-0.88960919,0.00035934,-0.00035934,0.45487468,-0.45487469,0.50779679,-0.50779679,0.82908729,-0.82908729,0.00947182,-0.00947182,0.59237814,-0.59237814
-4.58329165,2.78551784,-2.78551784,0.31214506,-0.31214506,0.90050121,-0.90050121,0.00041982,-0.00041982,0.48547544,-0.48547544,0.53059652,-0.53059652,0.86104837,-0.86104837,0.01025700,-0.01025700,0.58480291,-0.58480291
-4.57728864,2.86159284,-2.86159284,0.32089078,-0.32089078,0.90976164,-0.90976164,0.00048773,-0.00048773,0.51695883,-0.51695883,0.55354332,-0.55354332,0.89446732,-0.89446732,0.01109512,-0.01109512,0.57680499,-0.57680499
-4.57128564,2.93772941,-2.93772941,0.32974227,-0.32974227,0.91727375,-0.91727375,0.00056340,-0.00056340,0.54923102,-0.54923102,0.57656717,-0.57656717,0.92927258,-0.92927258,0.01199007,-0.01199007,0.56840527,-0.56840527
-4.56528264,3.01369933,-3.01369933,0.33871782,-0.33871783,0.92296052,-0.92296052,0.00064706,-0.00064706,0.58219580,-0.58219580,0.59961309,-0.59961309,0.96538115,-0.96538115,0.01294604,-0.01294604,0.55963876,-0.55963876
-4.55927964,3.08931940,-3.08931940,0.34785220,-0.34785220,0.92678741,-0.92678741,0.00073883,-0.00073883,0.61575141,-0.61575142,0.62263980,-0.62263980,1.00269319,-1.00269319,0.01396738,-0.01396738,0.55055526,-0.55055526
-4.55327664,3.16444255,-3.16444255,0.35719534,-0.35719534,0.92876382,-0.92876382,0.00083866,-0.00083866,0.64978675,-0.64978675,0.64561729,-0.64561729,1.04108632,-1.04108632,0.01505837,-0.01505837,0.54121957,-0.54121957
-4.54727364,3.23894587,-3.23894587,0.36681008,-0.36681008,0.92894288,-0.92894288,0.00094634,-0.00094634,0.68417715,-0.68417715,0.66852342,-0.66852342,1.08040989,-1.08040989,0.01622300,-0.01622300,0.53171121,-0.53171121
-4.54127064,3.31271623,-3.31271624,0.37676899,-0.37676899,0.92741967,-0.92741967,0.00106147,-0.00106147,0.71878022,-0.71878023,0.69133960,-0.69133960,1.12047977,-1.12047977,0.01746468,-0.01746468,0.52212348,-0.52212348
-4.53526763,3.38563465,-3.38563465,0.38715053,-0.38715053,0.92432801,-0.92432801,0.00118345,-0.00118345,0.75343200,-0.75343200,0.71404609,-0.71404609,1.16107390,-1.16107390,0.01878595,-0.01878595,0.51256194,-0.51256194
-4.52926463,3.45756049,-3.45756049,0.39803459,-0.39803459,0.91983597,-0.91983597,0.00131147,-0.00131147,0.78794377,-0.78794377,0.73661705,-0.73661705,1.20192933,-1.20192933,0.02018819,-0.02018819,0.50314237,-0.50314237
-4.52326163,3.52831689,-3.52831689,0.40949767,-0.40949767,0.91414026,-0.91414026,0.00144448,-0.00144448,0.82210011,-0.82210011,0.75901585,-0.75901585,1.24274094,-1.24274094,0.02167133,-0.02167133,0.49398826,-0.49398826
-4.51725863,3.59767860,-3.59767860,0.42160803,-0.42160803,0.90745998,-0.90745998,0.00158124,-0.00158124,0.85565826,-0.85565826,0.78119088,-0.78119088,1.28316237,-1.28316237,0.02323357,-0.02323357,0.48522792,-0.48522792
-4.51125563,3.66536340,-3.66536340,0.43442083,-0.43442083,0.90002981,-0.90002981,0.00172031,-0.00172031,0.88834917,-0.88834917,0.80307221,-0.80307221,1.32280935,-1.32280935,0.02487120,-0.02487120,0.47699142,-0.47699142
-4.50525263,3.73102799,-3.73102799,0.44797386,-0.44797386,0.89209323,-0.89209323,0.00186007,-0.00186007,0.91988044,-0.91988044,0.82456949,-0.82456949,1.36126552,-1.36126552,0.02657835,-0.02657835,0.46940747,-0.46940747
-4.49924962,3.79426904,-3.79426904,0.46228369,-0.46228369,0.88389585,-0.88389585,0.00199873,-0.00199873,0.94994100,-0.94994100,0.84557116,-0.84557116,1.39809086,-1.39809086,0.02834698,-0.02834698,0.46260035,-0.46260035
-4.49324662,3.85462967,-3.85462967,0.47734284,-0.47734284,0.87567924,-0.87567924,0.00213440,-0.00213440,0.97820776,-0.97820776,0.86594514,-0.86594514,1.43283238,-1.43283238,0.03016681,-0.03016681,0.45668707,-0.45668707
-4.48724362,3.91161121,-3.91161122,0.49311781,-0.49311781,0.86767552,-0.86767553,0.00226510,-0.00226510,1.00435377,-1.00435377,0.88554116,-0.88554116,1.46503679,-1.46503679,0.03202537,-0.03202537,0.45177475,-0.45177475
-4.48124062,3.96468991,-3.96468991,0.50954826,-0.50954826,0.86010278,-0.86010278,0.00238885,-0.00238885,1.02805769,-1.02805769,0.90419442,-0.90419442,1.49426471,-1.49426471,0.03390822,-0.03390822,0.44795843,-0.44795843
-4.47523762,4.01333756,-4.01333756,0.52654739,-0.52654739,0.85316145,-0.85316145,0.00250366,-0.00250366,1.04901427,-1.04901427,0.92173068,-0.92173068,1.52010570,-1.52010570,0.03579913,-0.03579913,0.44531925,-0.44531925
-4.46923462,4.05704512,-4.05704512,0.54400345,-0.54400345,0.84703182,-0.84703182,0.00260765,-0.00260765,1.06694518,-1.06694518,0.93797239,-0.93797239,1.54219338,-1.54219338,0.03768045,-0.03768045,0.44392301,-0.44392301
-4.46323162,4.09534780,-4.09534780,0.56178228,-0.56178228,0.84187239,-0.84187239,0.00269907,-0.00269907,1.08160979,-1.08160979,0.95274553,-0.95274553,1.56022007,-1.56022007,0.03953352,-0.03953352,0.44381905,-0.44381905
-4.45722861,4.12785023,-4.12785023,0.57973088,-0.57973088,0.83781923,-0.83781923,0.00277637,-0.00277637,1.09281538,-1.09281538,0.96588695,-0.96588695,1.57394987,-1.57394987,0.04133909,-0.04133909,0.44503956,-0.44503956
-4.45122561,4.15425003,-4.15425003,0.59768177,-0.59768177,0.83498614,-0.83498614,0.00283823,-0.00283823,1.10042606,-1.10042606,0.97725159,-0.97725159,1.58322978,-1.58322978,0.04307787,-0.04307787,0.44759901,-0.44759901
-4.44522261,4.17435837,-4.17435837,0.61545782,-0.61545782,0.83346541,-0.83346541,0.00288361,-0.00288361,1.10437018,-1.10437018,0.98671937,-0.98671937,1.58799796,-1.58799796,0.04473103,-0.04473103,0.45149383,-0.45149383
-4.43921961,4.18811622,-4.18811622,0.63287749,-0.63287749,0.83332908,-0.83332908,0.00291180,-0.00291180,1.10464556,-1.10464556,0.99420122,-0.99420122,1.58828878,-1.58828878,0.04628073,-0.04628073,0.45670218,-0.45670218
-4.43321661,4.19560500,-4.19560500,0.64976006,-0.64976006,0.83463047,-0.83463047,0.00292244,-0.00292244,1.10132242,-1.10132242,0.99964401,-0.99964401,1.58423433,-1.58423433,0.04771062,-0.04771062,0.46318380,-0.46318380
-4.42721361,4.19705107,-4.19705107,0.66593067,-0.66593067,0.83740584,-0.83740584,0.00291549,-0.00291549,1.09454360,-1.09454360,1.00303395,-1.00303395,1.57606213,-1.57606213,0.04900628,-0.04900628,0.47087982,-0.47087982
-4.42121061,4.19282341,-4.19282341,0.68122485,-0.68122485,0.84167600,-0.84167600,0.00289131,-0.00289131,1.08452218,-1.08452218,1.00439836,-1.00439836,1.56408916,-1.56408916,0.05015564,-0.05015564,0.47971267,-0.47971267
-4.41520760,4.18342455,-4.18342455,0.69549243,-0.69549243,0.84744781,-0.84744781,0.00285058,-0.00285058,1.07153642,-1.07153642,1.00380562,-1.00380562,1.54871242,-1.54871242,0.05114923,-0.05114923,0.48958597,-0.48958597
-4.40920460,4.16947507,-4.16947507,0.70860049,-0.70860049,0.85471532,-0.85471532,0.00279431,-0.00279431,1.05592225,-1.05592225,1.00136322,-1.00136322,1.53039642,-1.53039642,0.05198040,-0.05198040,0.50038444,-0.50038444
-4.40320160,4.15169225,-4.15169225,0.72043541,-0.72043541,0.86346065,-0.86346065,0.00272379,-0.00272379,1.03806356,-1.03806356,0.99721401,-0.99721401,1.50965820,-1.50965820,0.05264544,-0.05264544,0.51197402,-0.51197402
-4.39719860,4.13086399,-4.13086399,0.73090377,-0.73090377,0.87365452,-0.87365452,0.00264057,-0.00264057,1.01838072,-1.01838072,0.99153083,-0.99153083,1.48705051,-1.48705051,0.05314351,-0.05314351,0.52420219,-0.52420219
-4.39119560,4.10781919,-4.10781918,0.73993231,-0.73993231,0.88525640,-0.88525640,0.00254639,-0.00254639,0.99731785,-0.99731785,0.98450965,-0.98450965,1.46314390,-1.46314390,0.05347655,-0.05347655,0.53689855,-0.53689855
-4.38519260,4.08339608,-4.08339608,0.74746681,-0.74746681,0.89821440,-0.89821440,0.00244312,-0.00244312,0.97532920,-0.97532920,0.97636164,-0.97636164,1.43850859,-1.43850859,0.05364905,-0.05364905,0.54987585,-0.54987585
