energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
3.68284142,3.38916826,1.19182575,0.01119265,0.33085184,0.00008140,1.49213437,0.00000000
3.68884442,3.40175394,1.18820676,0.01114409,0.32621894,0.00008179,1.49578727,0.00000000
3.69484742,3.40388913,1.18117963,0.01105671,0.32280717,0.00008214,1.49472250,0.00000000
3.70085043,3.39582012,1.17126168,0.01093292,0.32080255,0.00008250,1.48899888,0.00000000
3.70685343,3.37809783,1.15919070,0.01077659,0.32047981,0.00008296,1.47877235,0.00000000
3.71285643,3.35157528,1.14591245,0.01059298,0.32219894,0.00008359,1.46429580,0.00000000
3.71885943,3.31739792,1.13256198,0.01038861,0.32639954,0.00008451,1.44591725,0.00000000
3.72486243,3.27698666,1.12043922,0.01017113,0.33359277,0.00008582,1.42407629,0.00000000
3.73086543,3.23201366,1.11097965,0.00994906,0.34435129,0.00008766,1.39929852,0.00000000
3.73686843,3.18437111,1.10572062,0.00973166,0.35929696,0.00009015,1.37218818,0.00000000
3.74287144,3.13613315,1.10626426,0.00952864,0.37908661,0.00009344,1.34341880,0.00000000
3.74887444,3.08951160,1.11423773,0.00934990,0.40439594,0.00009765,1.31372182,0.00000000
3.75487744,3.04680607,1.13125176,0.00920531,0.43590161,0.00010294,1.28387334,0.00000000
3.76088044,3.01034928,1.15885833,0.00910446,0.47426186,0.00010942,1.25467906,0.00000000
3.76688344,2.98244874,1.19850838,0.00905632,0.52009586,0.00011723,1.22695757,0.00000000
3.77288644,2.96532597,1.25151044,0.00906911,0.57396218,0.00012646,1.20152224,0.00000000
3.77888944,2.96105473,1.31899097,0.00914996,0.63633678,0.00013720,1.17916215,0.00000000
3.78489245,2.97149981,1.40185737,0.00930479,0.70759105,0.00014951,1.16062228,0.00000000
3.79089545,2.99825814,1.50076443,0.00953805,0.78797040,0.00016345,1.14658371,0.00000000
3.79689845,3.04260385,1.61608494,0.00985260,0.87757424,0.00017900,1.13764405,0.00000000
3.80290145,3.10543926,1.74788540,0.01024958,0.97633783,0.00019616,1.13429903,0.00000000
3.80890445,3.18725321,1.89590739,0.01072831,1.08401678,0.00021486,1.13692558,0.00000000
3.81490745,3.28808867,2.05955532,0.01128625,1.20017501,0.00023501,1.14576709,0.00000000
3.82091046,3.40752060,2.23789110,0.01191897,1.32417664,0.00025649,1.16092154,0.00000000
3.82691346,3.54464558,2.42963635,0.01262021,1.45518250,0.00027912,1.18233278,0.00000000
3.83291646,3.69808365,2.63318219,0.01338195,1.59215180,0.00030270,1.20978558,0.00000000
3.83891946,3.86599308,2.84660713,0.01419450,1.73384913,0.00032701,1.24290473,0.00000000
