energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Te_p_up,Te_d_up
0.10505253,6.41947641,0.21426033,1.26723533,1.71605829,2.61871395,0.10782429,1.92944323,0.00000000
0.11105553,6.41346177,0.20886080,1.29661106,1.73917455,2.62253575,0.10517744,1.93677718,0.00000000
0.11705853,6.40184856,0.20236512,1.32905207,1.76231949,2.62271803,0.10215250,1.94537994,0.00000000
0.12306153,6.38675169,0.19490669,1.36454177,1.78579040,2.62019609,0.09883153,1.95559596,0.00000000
0.12906453,6.37002069,0.18663201,1.40293226,1.80978438,2.61583002,0.09530058,1.96760403,0.00000000
0.13506753,6.35315947,0.17769592,1.44393962,1.83438392,2.61036596,0.09164669,1.98140843,0.00000000
0.14107054,6.33726519,0.16825688,1.48714470,1.85954813,2.60440436,0.08795487,1.99683867,0.00000000
0.14707354,6.32298964,0.15847240,1.53199978,1.88511036,2.59837668,0.08430534,2.01355799,0.00000000
0.15307654,6.31052458,0.14849472,1.57784094,1.91078244,2.59253167,0.08077090,2.03108038,0.00000000
0.15907954,6.29961181,0.13846710,1.62390586,1.93616542,2.58693177,0.07741483,2.04879524,0.00000000
0.16508254,6.28957699,0.12852060,1.66935641,1.96076651,2.58145961,0.07428910,2.06599872,0.00000000
0.17108554,6.27938520,0.11877164,1.71330519,1.98402137,2.57583406,0.07143318,2.08193014,0.00000000
0.17708854,6.26771503,0.10932028,1.75484494,2.00532077,2.56963492,0.06887336,2.09581170,0.00000000
0.18309155,6.25304706,0.10024923,1.79307955,2.02404029,2.56233459,0.06662263,2.10688959,0.00000000
0.18909455,6.23376199,0.09162356,1.82715542,2.03957162,2.55333520,0.06468105,2.11447443,0.00000000
0.19509755,6.20824313,0.08349111,1.85629182,2.05135387,2.54200906,0.06303672,2.11797894,0.00000000
0.20110055,6.17497815,0.07588343,1.87980887,2.05890344,2.52774029,0.06166711,2.11695117,0.00000000
0.20710355,6.13265477,0.06881717,1.89715209,2.06184078,2.50996572,0.06054081,2.11110135,0.00000000
0.21310655,6.08024588,0.06229583,1.90791227,2.05991287,2.48821285,0.05961954,2.10032128,0.00000000
0.21910955,6.01708004,0.05631169,1.91184011,2.05301028,2.46213322,0.05886041,2.08469523,0.00000000
0.22511256,5.94289411,0.05084793,1.90885478,2.04117783,2.43152960,0.05821817,2.06450177,0.00000000
0.23111556,5.85786588,0.04588064,1.89904630,2.02461850,2.39637582,0.05764760,2.04020665,0.00000000
0.23711856,5.76262541,0.04138085,1.88267153,2.00369028,2.35682841,0.05710569,2.01244696,0.00000000
0.24312156,5.65824492,0.03731635,1.86014420,1.97889610,2.31322960,0.05655370,1.98200744,0.00000000
0.24912456,5.54620805,0.03365329,1.83201922,1.95086730,2.26610168,0.05595893,1.94979015,0.00000000
0.25512756,5.42836012,0.03035752,1.79897229,1.92034134,2.21613294,0.05529617,1.91677894,0.00000000
0.26113057,5.30684186,0.02739577,1.76177537,1.88813485,2.16415590,0.05454879,1.88400038,0.00000000
0.26713357,5.18400981,0.02473640,1.72126933,1.85511298,2.11111879,0.05370943,1.85248299,0.00000000
0.27313657,5.06234685,0.02235004,1.67833479,1.82215662,2.05805151,0.05278026,1.82321656,0.00000000
0.27913957,4.94436679,0.02020989,1.63386226,1.79012866,2.00602740,0.05177281,1.79711340,0.00000000
0.28514257,4.83251709,0.01829191,1.58872287,1.75984085,1.95612254,0.05070749,1.77497297,0.00000000
0.29114557,4.72908363,0.01657479,1.54374073,1.73202257,1.90937405,0.04961261,1.75745156,0.00000000
0.29714857,4.63610133,0.01503976,1.49966785,1.70729274,1.86673927,0.04852323,1.74503782,0.00000000
0.30315158,4.55527428,0.01367041,1.45716263,1.68613608,1.82905732,0.04747967,1.73803531,0.00000000
0.30915458,4.48790827,0.01245233,1.41677244,1.66888450,1.79701468,0.04652586,1.73655224,0.00000000
0.31515758,4.43485848,0.01137279,1.37892095,1.65570455,1.77111621,0.04570758,1.74049883,0.00000000
0.32116058,4.39649407,0.01042041,1.34390038,1.64659115,1.75166287,0.04507068,1.74959201,0.00000000
0.32716358,4.37268116,0.00958485,1.31186888,1.64136798,1.73873702,0.04465927,1.76336707,0.00000000
0.33316658,4.36278478,0.00885649,1.28285282,1.63969442,1.73219612,0.04451415,1.78119561,0.00000000
0.33916958,4.36568957,0.00822622,1.25675388,1.64107876,1.73167513,0.04467130,1.80230884,0.00000000
0.34517259,4.37983865,0.00768525,1.23336026,1.64489705,1.73659764,0.04516071,1.82582538,0.00000000
0.35117559,4.40328901,0.00722496,1.21236165,1.65041706,1.74619545,0.04600545,1.85078223,0.00000000
0.35717859,4.43378148,0.00683687,1.19336711,1.65682609,1.75953590,0.04722114,1.87616793,0.00000000
0.36318159,4.46882260,0.00651258,1.17592511,1.66326186,1.77555583,0.04881577,1.90095660,0.00000000
0.36918459,4.50577533,0.00624382,1.15954498,1.66884508,1.79310114,0.05078994,1.92414179,0.00000000
0.37518759,4.54195519,0.00602250,1.14371876,1.67271251,1.81097000,0.05313747,1.94476906,0.00000000
0.38119060,4.57472812,0.00584079,1.12794286,1.67404931,1.82795825,0.05584641,1.96196623,0.00000000
