energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-5.44172086,3.10545595,0.02350306,0.37387937,0.14460583,0.13178519,1.82236027,1.38496976,0.03811052,1.53424233
-5.43571786,3.17322730,0.02437769,0.38198655,0.14529045,0.13547569,1.88324015,1.41026374,0.03870698,1.56787250
-5.42971486,3.25186928,0.02537435,0.39079327,0.14666828,0.13962396,1.94960490,1.44027223,0.03953316,1.60724191
-5.42371186,3.34139863,0.02648530,0.40033081,0.14869071,0.14422028,2.02139130,1.47516378,0.04057136,1.65236590
-5.41770885,3.44164312,0.02770217,0.41060653,0.15131109,0.14925097,2.09843678,1.51499368,0.04180108,1.70318084
-5.41170585,3.55222768,0.02901586,0.42160094,0.15448446,0.15469803,2.18046757,1.55969503,0.04319928,1.75953726
-5.40570285,3.67256870,0.03041633,0.43326611,0.15816727,0.16053894,2.26709219,1.60907456,0.04474081,1.82119613
-5.39969985,3.80187703,0.03189252,0.44552567,0.16231726,0.16674672,2.35780085,1.66281363,0.04639880,1.88782863
-5.39369685,3.93917016,0.03343225,0.45827638,0.16689339,0.17329020,2.45197131,1.72047456,0.04814511,1.95901955
-5.38769385,4.08329330,0.03502214,0.47139133,0.17185599,0.18013443,2.54888087,1.78151237,0.04995089,2.03427441
-5.38169085,4.23294887,0.03664765,0.48472455,0.17716702,0.18724140,2.64772432,1.84529134,0.05178703,2.11302994
-5.37568784,4.38673308,0.03829314,0.49811685,0.18279044,0.19457073,2.74763689,1.91110599,0.05362480,2.19466764
-5.36968484,4.54317811,0.03994203,0.51140259,0.18869271,0.20208061,2.84772102,1.97820564,0.05543640,2.27852974
-5.36368184,4.70079808,0.04157700,0.52441702,0.19484334,0.20972863,2.94707568,2.04582129,0.05719552,2.36393695
-5.35767884,4.85813637,0.04318030,0.53700375,0.20121541,0.21747262,3.04482661,2.11319396,0.05887797,2.45020710
-5.35167584,5.01381229,0.04473412,0.54902192,0.20778611,0.22527138,3.14015579,2.17960282,0.06046217,2.53667383
-5.34567284,5.16656456,0.04622101,0.56035282,0.21453706,0.23308522,3.23232860,2.24439212,0.06192974,2.62270437
