energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-4.84742371,1.96254782,0.00011785,0.36264053,0.36264930,0.44063952,0.82378225,0.59083675,0.00315436,0.69987132
-4.84142071,1.99305775,0.00011371,0.37275473,0.37003264,0.44201255,0.85010295,0.60473042,0.00302006,0.70507962
-4.83541771,2.02046330,0.00010971,0.38212143,0.37714443,0.44294722,0.87419656,0.61727475,0.00289939,0.70967467
-4.82941471,2.04427300,0.00010578,0.39053223,0.38395582,0.44350841,0.89569379,0.62810382,0.00278857,0.71373987
-4.82341171,2.06412780,0.00010182,0.39780929,0.39045401,0.44378131,0.91429330,0.63690390,0.00268430,0.71739023
-4.81740870,2.07979848,0.00009778,0.40380828,0.39663969,0.44386570,0.92976579,0.64341935,0.00258371,0.72076350
-4.81140570,2.09117769,0.00009362,0.40842010,0.40252372,0.44386950,0.94195528,0.64745652,0.00248449,0.72400997
-4.80540270,2.09826721,0.00008932,0.41157123,0.40812330,0.44390181,0.95077764,0.64888553,0.00238483,0.72728146
-4.79939970,2.10116132,0.00008486,0.41322284,0.41345775,0.44406570,0.95621666,0.64764003,0.00228345,0.73072003
-4.79339670,2.10002720,0.00008025,0.41336884,0.41854411,0.44445129,0.95831783,0.64371496,0.00217953,0.73444695
-4.78739370,2.09508359,0.00007552,0.41203287,0.42339288,0.44512932,0.95718035,0.63716258,0.00207269,0.73855252
-4.78139070,2.08657886,0.00007069,0.40926459,0.42800414,0.44614560,0.95294784,0.62808698,0.00196295,0.74308724
-4.77538769,2.07476976,0.00006581,0.40513540,0.43236423,0.44751670,0.94579822,0.61663734,0.00185062,0.74805496
-4.76938469,2.05990200,0.00006091,0.39973386,0.43644328,0.44922704,0.93593348,0.60300026,0.00173629,0.75340824
-4.76338169,2.04219379,0.00005604,0.39316106,0.44019376,0.45122764,0.92356984,0.58739163,0.00162072,0.75904636
-4.75737869,2.02182315,0.00005126,0.38552617,0.44355020,0.45343663,0.90892876,0.57004827,0.00150483,0.76481626
-4.75137569,1.99891972,0.00004660,0.37694234,0.44643016,0.45574150,0.89222933,0.55121974,0.00138957,0.77051623
-4.74537269,1.97356150,0.00004210,0.36752320,0.44873643,0.45800310,0.87368229,0.53116066,0.00127594,0.77590253
-4.73936968,1.94577645,0.00003782,0.35737999,0.45036046,0.46006111,0.85348598,0.51012384,0.00116490,0.78069846
-4.73336668,1.91554889,0.00003377,0.34661944,0.45118686,0.46174088,0.83182418,0.48835435,0.00105734,0.78460564
-4.72736368,1.88283007,0.00002999,0.33534245,0.45109867,0.46286121,0.80886585,0.46608473,0.00095406,0.78731694
-4.72136068,1.84755217,0.00002650,0.32364344,0.44998328,0.46324262,0.78476659,0.44353146,0.00085576,0.78853030
-4.71535768,1.80964460,0.00002332,0.31161037,0.44773855,0.46271589,0.75967137,0.42089261,0.00076300,0.78796293
-4.70935468,1.76905157,0.00002047,0.29932534,0.44427884,0.46113022,0.73371837,0.39834673,0.00067620,0.78536500
-4.70335168,1.72574949,0.00001795,0.28686547,0.43954056,0.45836064,0.70704328,0.37605270,0.00059565,0.78053211
-4.69734867,1.67976311,0.00001578,0.27430407,0.43348693,0.45431431,0.67978368,0.35415056,0.00052150,0.77331584
-4.69134567,1.63117914,0.00001397,0.26171182,0.42611162,0.44893525,0.65208302,0.33276296,0.00045381,0.76363190
-4.68534267,1.58015636,0.00001252,0.24915788,0.41744105,0.44220742,0.62409391,0.31199719,0.00039250,0.75146522
-4.67933967,1.52693151,0.00001145,0.23671068,0.40753509,0.43415579,0.59598014,0.29194736,0.00033739,0.73687186
-4.67333667,1.47182051,0.00001078,0.22443846,0.39648630,0.42484546,0.56791753,0.27269683,0.00028826,0.71997756
-4.66733367,1.41521484,0.00001053,0.21240934,0.38441740,0.41437886,0.54009325,0.25432038,0.00024478,0.70097299
-4.66133067,1.35757322,0.00001074,0.20069099,0.37147740,0.40289119,0.51270368,0.23688628,0.00020661,0.68010602
-4.65532766,1.29940929,0.00001144,0.18934993,0.35783640,0.39054444,0.48595107,0.22045800,0.00017335,0.65767135
