energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-5.32166083,1.53532492,0.00997717,0.00000000,0.01309434,0.20716911,0.00555821,0.89363595,0.81918459,0.26635312
-5.31565783,1.53147061,0.00995034,0.00000000,0.01412353,0.20184876,0.00567543,0.89964251,0.79916198,0.26199103
-5.30965483,1.52926545,0.00993399,0.00000000,0.01522725,0.19669862,0.00582545,0.90670933,0.77946865,0.25786012
-5.30365183,1.52965978,0.00993457,0.00000000,0.01640174,0.19189724,0.00600805,0.91532456,0.76079707,0.25415727
-5.29764882,1.53347971,0.00995762,0.00000000,0.01764055,0.18760672,0.00622218,0.92590513,0.74377599,0.25105840
-5.29164582,1.54138620,0.01000755,0.00000000,0.01893427,0.18396732,0.00646584,0.93877216,0.72894896,0.24871141
-5.28564282,1.55384088,0.01008740,0.00000000,0.02027054,0.18109293,0.00673606,0.95413018,0.71675655,0.24723024
-5.27963982,1.57108034,0.01019870,0.00000000,0.02163407,0.17906774,0.00702885,0.97205121,0.70752268,0.24669042
-5.27363682,1.59310003,0.01034135,0.00000000,0.02300685,0.17794418,0.00733925,0.99246452,0.70144599,0.24712614
-5.26763382,1.61964892,0.01051358,0.00000000,0.02436845,0.17774210,0.00766141,1.01515283,0.69859623,0.24852918
-5.26163082,1.65023513,0.01071201,0.00000000,0.02569654,0.17844946,0.00798874,1.03975505,0.69891594,0.25084951
-5.25562781,1.68414242,0.01093173,0.00000000,0.02696744,0.18002432,0.00831407,1.06577576,0.70222741,0.25399777
-5.24962481,1.72045711,0.01116653,0.00000000,0.02815681,0.18239814,0.00862986,1.09260100,0.70824445,0.25784932
-5.24362181,1.75810419,0.01140905,0.00000000,0.02924045,0.18548023,0.00892844,1.11951979,0.71658855,0.26224984
-5.23761881,1.79589113,0.01165115,0.00000000,0.03019504,0.18916321,0.00920230,1.14575041,0.72680889,0.26702224
-5.23161581,1.83255760,0.01188419,0.00000000,0.03099901,0.19332928,0.00944431,1.17047040,0.73840504,0.27197448
-5.22561281,1.86682885,0.01209938,0.00000000,0.03163330,0.19785696,0.00964800,1.19284887,0.75085178,0.27690813
-5.21960980,1.89747045,0.01228815,0.00000000,0.03208203,0.20262815,0.00980781,1.21207972,0.76362477,0.28162713
-5.21360680,1.92334204,0.01244248,0.00000000,0.03233317,0.20753511,0.00991927,1.22741437,0.77622595,0.28594663
-5.20760380,1.94344773,0.01255526,0.00000000,0.03237898,0.21248711,0.00997923,1.23819246,0.78820789,0.28970126
-5.20160080,1.95698088,0.01262057,0.00000000,0.03221633,0.21741647,0.00998590,1.24386921,0.79919566,0.29275271
-5.19559780,1.96336158,0.01263393,0.00000000,0.03184686,0.22228368,0.00993902,1.24403840,0.80890562,0.29499621
-5.18959480,1.96226498,0.01259252,0.00000000,0.03127691,0.22708132,0.00983980,1.23844985,0.81716007,0.29636568
-5.18359180,1.95363955,0.01249528,0.00000000,0.03051736,0.23183676,0.00969094,1.22702093,0.82389730,0.29683724
-5.17758879,1.93771456,0.01234299,0.00000000,0.02958325,0.23661316,0.00949649,1.20984161,0.82917647,0.29643114
-5.17158579,1.91499655,0.01213830,0.00000000,0.02849322,0.24150906,0.00926174,1.18717301,0.83317709,0.29521189
-5.16558279,1.88625523,0.01188562,0.00000000,0.02726893,0.24665626,0.00899302,1.15943976,0.83619329,0.29328666
-5.15957979,1.85249955,0.01159104,0.00000000,0.02593429,0.25221611,0.00869749,1.12721670,0.83862290,0.29080203
-5.15357679,1.81494521,0.01126211,0.00000000,0.02451471,0.25837447,0.00838286,1.09121053,0.84095193,0.28793926
-5.14757379,1.77497515,0.01090767,0.00000000,0.02303629,0.26533532,0.00805718,1.05223757,0.84373527,0.28490834
-5.14157079,1.73409489,0.01053752,0.00000000,0.02152505,0.27331337,0.00772853,1.01119866,0.84757417,0.28194103
-5.13556778,1.69388468,0.01016225,0.00000000,0.02000618,0.28252603,0.00740478,0.96905221,0.85309187,0.27928317
-5.12956478,1.65595045,0.00979285,0.00000000,0.01850342,0.29318496,0.00709335,0.92678683,0.86090821,0.27718671
-5.12356178,1.62187573,0.00944050,0.00000000,0.01703850,0.30548759,0.00680101,0.88539438,0.87161450,0.27590169
-5.11755878,1.59317606,0.00911625,0.00000000,0.01563068,0.31960902,0.00653365,0.84584456,0.88574966,0.27566848
-5.11155578,1.57125780,0.00883077,0.00000000,0.01429648,0.33569460,0.00629621,0.80906191,0.90377880,0.27671062
-5.10555278,1.55738240,0.00859413,0.00000000,0.01304948,0.35385342,0.00609252,0.77590569,0.92607496,0.27922842
-5.09954977,1.55263714,0.00841559,0.00000000,0.01190028,0.37415314,0.00592528,0.74715324,0.95290490,0.28339362
-5.09354677,1.55791285,0.00830340,0.00000000,0.01085655,0.39661620,0.00579604,0.72348686,0.98441927,0.28934507
-5.08754377,1.57388879,0.00826469,0.00000000,0.00992318,0.42121754,0.00570523,0.70548432,1.02064759,0.29718569
-5.08154077,1.60102443,0.00830535,0.00000000,0.00910258,0.44788401,0.00565225,0.69361280,1.06149791,0.30698050
-5.07553777,1.63955769,0.00842992,0.00000000,0.00839491,0.47649522,0.00563555,0.68822577,1.10676098,0.31875588
-5.06953477,1.68950867,0.00864156,0.00000000,0.00779852,0.50688588,0.00565276,0.68956258,1.15611852,0.33249969
-5.06353177,1.75068813,0.00894196,0.00000000,0.00731022,0.53884939,0.00570086,0.69775003,1.20915475,0.34816241
-5.05752876,1.82270942,0.00933139,0.00000000,0.00692576,0.57214247,0.00577633,0.71280550,1.26537060,0.36565887
-5.05152576,1.90500289,0.00980860,0.00000000,0.00664007,0.60649049,0.00587532,0.73464106,1.32419955,0.38487050
-5.04552276,1.99683174,0.01037091,0.00000000,0.00644766,0.64159340,0.00599383,0.76306815,1.38502427,0.40564801
-5.03951976,2.09730840,0.01101414,0.00000000,0.00634283,0.67713173,0.00612782,0.79780244,1.44719304,0.42781419
-5.03351676,2.20541070,0.01173269,0.00000000,0.00631993,0.71277268,0.00627341,0.83846873,1.51003531,0.45116680
-5.02751376,2.31999751,0.01251956,0.00000000,0.00637345,0.74817589,0.00642695,0.88460565,1.57287552,0.47548142
-5.02151076,2.43982352,0.01336638,0.00000000,0.00649815,0.78299886,0.00658515,0.93567039,1.63504494,0.50051437
-5.01550775,2.56355331,0.01426352,0.00000000,0.00668905,0.81690185,0.00674510,0.99104343,1.69589098,0.52600541
-5.00950475,2.68977499,0.01520014,0.00000000,0.00694143,0.84955224,0.00690436,1.05003371,1.75478408,0.55168057
-5.00350175,2.81701382,0.01616435,0.00000000,0.00725071,0.88062850,0.00706096,1.11188451,1.81112239,0.57725498
-4.99749875,2.94374652,0.01714332,0.00000000,0.00761237,0.90982363,0.00721333,1.17578027,1.86433433,0.60243591
-4.99149575,3.06841679,0.01812351,0.00000000,0.00802178,0.93684841,0.00736035,1.24085493,1.91387979,0.62692602
-4.98549275,3.18945276,0.01909082,0.00000000,0.00847406,0.96143447,0.00750120,1.30620193,1.95925045,0.65042703
-4.97948974,3.30528676,0.02003091,0.00000000,0.00896394,0.98333742,0.00763533,1.37088609,1.99996991,0.67264380
-4.97348674,3.41437780,0.02092941,0.00000000,0.00948563,1.00234001,0.00776240,1.43395748,2.03559425,0.69328891
-4.96748374,3.51523673,0.02177225,0.00000000,0.01003270,1.01825564,0.00788211,1.49446719,2.06571366,0.71208767
-4.96148074,3.60645403,0.02254595,0.00000000,0.01059806,1.03093202,0.00799419,1.55148486,2.08995546,0.72878361
-4.95547774,3.68672946,0.02323797,0.00000000,0.01117394,1.04025510,0.00809828,1.60411737,2.10798900,0.74314421
-4.94947474,3.75490294,0.02383699,0.00000000,0.01175190,1.04615318,0.00819388,1.65152851,2.11953233,0.75496684
-4.94347174,3.80998561,0.02433323,0.00000000,0.01232299,1.04860086,0.00828029,1.69295862,2.12436059,0.76408456
-4.93746873,3.85118956,0.02471871,0.00000000,0.01287789,1.04762286,0.00835657,1.72774371,2.12231585,0.77037160
-4.93146573,3.87795517,0.02498748,0.00000000,0.01340708,1.04329725,0.00842158,1.75533327,2.11331778,0.77374834
-4.92546273,3.88997425,0.02513579,0.00000000,0.01390116,1.03575789,0.00847394,1.77530579,2.09737458,0.77418528
-4.91945973,3.88720796,0.02516225,0.00000000,0.01435109,1.02519572,0.00851209,1.78738154,2.07459327,0.77170602
-4.91345673,3.86989795,0.02506784,0.00000000,0.01474847,1.01185869,0.00853440,1.79143182,2.04518874,0.76638879
-4.90745373,3.83857006,0.02485594,0.00000000,0.01508590,0.99605011,0.00853917,1.78748409,2.00949054,0.75836652
-4.90145073,3.79402960,0.02453223,0.00000000,0.01535723,0.97812522,0.00852478,1.77572290,1.96794688,0.74782527
-4.89544772,3.73734827,0.02410454,0.00000000,0.01555781,0.95848590,0.00848979,1.75648623,1.92112512,0.73500099
-4.88944472,3.66984263,0.02358266,0.00000000,0.01568476,0.93757367,0.00843300,1.73025745,1.86970848,0.72017464
-4.88344172,3.59304470,0.02297808,0.00000000,0.01573706,0.91586102,0.00835363,1.69765302,1.81448861,0.70366592
-4.87743872,3.50866580,0.02230367,0.00000000,0.01571572,0.89384129,0.00825134,1.65940648,1.75635424,0.68582563
-4.87143572,3.41855466,0.02157336,0.00000000,0.01562374,0.87201763,0.00812637,1.61634925,1.69627600,0.66702708
-4.86543272,3.32465166,0.02080178,0.00000000,0.01546608,0.85089115,0.00797957,1.56938904,1.63528788,0.64765678
-4.85942971,3.22894066,0.02000391,0.00000000,0.01524951,0.83094897,0.00781247,1.51948648,1.57446611,0.62810488
-4.85342671,3.13340039,0.01919470,0.00000000,0.01498242,0.81265258,0.00762728,1.46763114,1.51490603,0.60875553
-4.84742371,3.03995726,0.01838877,0.00000000,0.01467457,0.79642680,0.00742691,1.41481749,1.45769782,0.58997774
-4.84142071,2.95044098,0.01760009,0.00000000,0.01433667,0.78265009,0.00721493,1.36202174,1.40390214,0.57211686
-4.83541771,2.86654483,0.01684168,0.00000000,0.01398012,0.77164625,0.00699553,1.31018030,1.35452624,0.55548708
-4.82941471,2.78979129,0.01612544,0.00000000,0.01361653,0.76367794,0.00677347,1.26017042,1.31050152,0.54036516
-4.82341171,2.72150430,0.01546191,0.00000000,0.01325737,0.75894214,0.00655395,1.21279354,1.27266310,0.52698547
-4.81740870,2.66278814,0.01486019,0.00000000,0.01291353,0.75756756,0.00634258,1.16876152,1.24173194,0.51553644
-4.81140570,2.61451342,0.01432778,0.00000000,0.01259497,0.75961400,0.00614523,1.12868617,1.21829987,0.50615843
-4.80540270,2.57730964,0.01387059,0.00000000,0.01231037,0.76507344,0.00596794,1.09307190,1.20281770,0.49894297
-4.79939970,2.55156382,0.01349292,0.00000000,0.01206688,0.77387258,0.00581677,1.06231144,1.19558658,0.49393317
-4.79339670,2.53742461,0.01319745,0.00000000,0.01186985,0.78587664,0.00569774,1.03668445,1.19675236,0.49112524
-4.78739370,2.53481067,0.01298531,0.00000000,0.01172276,0.80089394,0.00561665,1.01635861,1.20630311,0.49047080
-4.78139070,2.54342260,0.01285614,0.00000000,0.01162706,0.81868108,0.00557901,1.00139301,1.22406924,0.49187993
-4.77538769,2.56275741,0.01280815,0.00000000,0.01158228,0.83894831,0.00558991,0.99174320,1.24972631,0.49522466
-4.76938469,2.59212456,0.01283827,0.00000000,0.01158604,0.86136488,0.00565387,0.98726778,1.28280013,0.50034276
-4.76338169,2.63066315,0.01294216,0.00000000,0.01163423,0.88556422,0.00577479,0.98773597,1.32267409,0.50704172
-4.75737869,2.67735955,0.01311437,0.00000000,0.01172124,0.91114887,0.00595575,0.99283599,1.36859852,0.51510282
-4.75137569,2.73106539,0.01334839,0.00000000,0.01184022,0.93769517,0.00619897,1.00218394,1.41970209,0.52428521
-4.74537269,2.79051580,0.01363683,0.00000000,0.01198335,0.96475772,0.00650567,1.01533307,1.47500515,0.53433005
-4.73936968,2.85434808,0.01397142,0.00000000,0.01214223,0.99187395,0.00687593,1.03178331,1.53343512,0.54496463
-4.73336668,2.92112120,0.01434321,0.00000000,0.01230815,1.01856878,0.00730865,1.05099103,1.59384392,0.55590667
-4.72736368,2.98933636,0.01474267,0.00000000,0.01247247,1.04435974,0.00780142,1.07237915,1.65502738,0.56686872
-4.72136068,3.05745918,0.01515980,0.00000000,0.01262689,1.06876276,0.00835045,1.09534749,1.71574670,0.57756274
-4.71535768,3.12394377,0.01558432,0.00000000,0.01276377,1.09129862,0.00895057,1.11928357,1.77475172,0.58770502
-4.70935468,3.18725894,0.01600580,0.00000000,0.01287637,1.11150041,0.00959517,1.14357395,1.83080572,0.59702128
-4.70335168,3.24591656,0.01641388,0.00000000,0.01295900,1.12892178,0.01027626,1.16761590,1.88271146,0.60525209
-4.69734867,3.29850179,0.01679843,0.00000000,0.01300723,1.14314600,0.01098455,1.19082972,1.92933780,0.61215835
-4.69134567,3.34370483,0.01714979,0.00000000,0.01301794,1.15379563,0.01170953,1.21267127,1.96964631,0.61752696
-4.68534267,3.38035325,0.01745899,0.00000000,0.01298936,1.16054241,0.01243968,1.23264474,2.00271698,0.62117632
-4.67933967,3.40744410,0.01771794,0.00000000,0.01292109,1.16311710,0.01316271,1.25031529,2.02777227,0.62296155
-4.67333667,3.42417445,0.01791967,0.00000000,0.01281398,1.16131870,0.01386577,1.26532123,2.04419843,0.62277921
-4.66733367,3.42996904,0.01805853,0.00000000,0.01267010,1.15502264,0.01453583,1.27738524,2.05156326,0.62057132
-4.66133067,3.42450375,0.01813036,0.00000000,0.01249254,1.14418742,0.01516000,1.28632420,2.04962951,0.61632832
-4.65532766,3.40772328,0.01813263,0.00000000,0.01228527,1.12885929,0.01572589,1.29205716,2.03836296,0.61009096
