energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.82941471,1.58491691,0.00301240,0.11431613,0.28772233,1.08863092,0.29008917,0.00000000
-4.82341171,1.61802642,0.00300920,0.11331817,0.29570838,1.10764253,0.30168212,0.00000000
-4.81740870,1.64523902,0.00299956,0.11191796,0.30272028,1.12201606,0.31268882,0.00000000
-4.81140570,1.66613486,0.00298586,0.11012087,0.30866957,1.13149597,0.32297007,0.00000000
-4.80540270,1.68043738,0.00297086,0.10793777,0.31349293,1.13592713,0.33241475,0.00000000
-4.79939970,1.68802166,0.00295758,0.10538465,0.31715457,1.13525884,0.34094363,0.00000000
-4.79339670,1.68891921,0.00294924,0.10248229,0.31964803,1.12954646,0.34851229,0.00000000
-4.78739370,1.68331864,0.00294924,0.09925592,0.32099695,1.11895033,0.35511294,0.00000000
-4.78139070,1.67156159,0.00296097,0.09573485,0.32125494,1.10373184,0.36077493,0.00000000
-4.77538769,1.65413366,0.00298778,0.09195208,0.32050424,1.08424651,0.36556362,0.00000000
-4.76938469,1.63165028,0.00303286,0.08794383,0.31885326,1.06093412,0.36957767,0.00000000
-4.76338169,1.60483752,0.00309912,0.08374901,0.31643296,1.03430603,0.37294467,0.00000000
-4.75737869,1.57450835,0.00318908,0.07940865,0.31339215,1.00493008,0.37581511,0.00000000
-4.75137569,1.54153496,0.00330478,0.07496520,0.30989185,0.97341330,0.37835501,0.00000000
-4.74537269,1.50681821,0.00344767,0.07046176,0.30609894,0.94038331,0.38073741,0.00000000
-4.73936968,1.47125514,0.00361850,0.06594129,0.30217933,0.90646874,0.38313300,0.00000000
-4.73336668,1.43570624,0.00381727,0.06144577,0.29829094,0.87227978,0.38570058,0.00000000
-4.72736368,1.40096357,0.00404314,0.05701533,0.29457689,0.83838936,0.38857756,0.00000000
-4.72136068,1.36772154,0.00429442,0.05268747,0.29115918,0.80531601,0.39187118,0.00000000
-4.71535768,1.33655150,0.00456851,0.04849628,0.28813312,0.77350895,0.39565087,0.00000000
-4.70935468,1.30788167,0.00486194,0.04447182,0.28556307,0.74333621,0.39994229,0.00000000
-4.70335168,1.28198323,0.00517041,0.04063955,0.28347934,0.71507629,0.40472332,0.00000000
-4.69734867,1.25896349,0.00548886,0.03701999,0.28187684,0.68891365,0.40992238,0.00000000
-4.69134567,1.23876652,0.00581157,0.03362853,0.28071528,0.66493834,0.41541920,0.00000000
-4.68534267,1.22118114,0.00613231,0.03047532,0.27992109,0.64314961,0.42104812,0.00000000
-4.67933967,1.20585613,0.00644446,0.02756549,0.27939093,0.62346341,0.42660376,0.00000000
-4.67333667,1.19232166,0.00674124,0.02489939,0.27899667,0.60572325,0.43184885,0.00000000
-4.66733367,1.18001607,0.00701589,0.02247305,0.27859152,0.58971389,0.43652389,0.00000000
-4.66133067,1.16831654,0.00726189,0.02027873,0.27801710,0.57517718,0.44035808,0.00000000
-4.65532766,1.15657211,0.00747312,0.01830559,0.27711107,0.56182905,0.44308111,0.00000000
-4.64932466,1.14413738,0.00764412,0.01654037,0.27571479,0.54937702,0.44443507,0.00000000
-4.64332166,1.13040519,0.00777022,0.01496812,0.27368090,0.53753712,0.44418600,0.00000000
-4.63731866,1.11483670,0.00784776,0.01357297,0.27088020,0.52604958,0.44213450,0.00000000
-4.63131566,1.09698744,0.00787412,0.01233882,0.26720761,0.51469234,0.43812473,0.00000000
-4.62531266,1.07652801,0.00784788,0.01124995,0.26258692,0.50329198,0.43205157,0.00000000
