energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
4.16908454,0.22509789,0.03073832,0.06936315,0.00075836,0.00226016,0.03993214,0.03837188,0.14231769,0.00000000
4.17508754,0.24924529,0.03782552,0.07617015,0.00091772,0.00282043,0.04525415,0.04188042,0.15611506,0.00000000
4.18109055,0.27551492,0.04659531,0.08341311,0.00112021,0.00350946,0.05135894,0.04555038,0.17068321,0.00000000
4.18709355,0.30409396,0.05727944,0.09111424,0.00137122,0.00434736,0.05833771,0.04938334,0.18605205,0.00000000
4.19309655,0.33520388,0.07013016,0.09930347,0.00167678,0.00535634,0.06629264,0.05338497,0.20226450,0.00000000
4.19909955,0.36909814,0.08541541,0.10801839,0.00204343,0.00656047,0.07533507,0.05756534,0.21937685,0.00000000
4.20510255,0.40605763,0.10341248,0.11730358,0.00247804,0.00798533,0.08558301,0.06193900,0.23745803,0.00000000
4.21110555,0.44638331,0.12440017,0.12720937,0.00298763,0.00965755,0.09715775,0.06652473,0.25658779,0.00000000
4.21710855,0.49038601,0.14864938,0.13778986,0.00357913,0.01160424,0.11017972,0.07134496,0.27685359,0.00000000
4.22311156,0.53837334,0.17641234,0.14910026,0.00425905,0.01385227,0.12476347,0.07642485,0.29834617,0.00000000
4.22911456,0.59063391,0.20791058,0.16119353,0.00503325,0.01642745,0.14101195,0.08179096,0.32115393,0.00000000
4.23511756,0.64741913,0.24332188,0.17411649,0.00590653,0.01935364,0.15901021,0.08746963,0.34535616,0.00000000
4.24112056,0.70892335,0.28276685,0.18790546,0.00688228,0.02265165,0.17881870,0.09348507,0.37101551,0.00000000
4.24712356,0.77526304,0.32629532,0.20258158,0.00796215,0.02633825,0.20046653,0.09985718,0.39816989,0.00000000
4.25312656,0.84645602,0.37387344,0.21814623,0.00914566,0.03042502,0.22394479,0.10659937,0.42682432,0.00000000
4.25912956,0.92240188,0.42537201,0.23457656,0.01042989,0.03491727,0.24920063,0.11371631,0.45694316,0.00000000
4.26513257,1.00286474,0.48055677,0.25182166,0.01180919,0.03981306,0.27613214,0.12120184,0.48844325,0.00000000
4.27113557,1.08745968,0.53908143,0.26979942,0.01327498,0.04510227,0.30458465,0.12903719,0.52118840,0.00000000
4.27713857,1.17564397,0.60048414,0.28839458,0.01481563,0.05076597,0.33434865,0.13718955,0.55498581,0.00000000
