energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.97348674,1.67494965,0.00131756,0.12234645,0.34312013,0.82882804,0.44126461,0.50594854,0.33851877,0.00000000
-4.96748374,1.81333545,0.00138927,0.12906350,0.37390859,0.90389263,0.46408661,0.55140964,0.35368603,0.00000000
-4.96148074,1.95647067,0.00146852,0.13569452,0.40567086,0.98236043,0.48637585,0.59873301,0.36830777,0.00000000
-4.95547774,2.10306903,0.00155478,0.14216579,0.43810071,1.06360772,0.50784602,0.64749884,0.38218686,0.00000000
-4.94947474,2.25171197,0.00164746,0.14840216,0.47085403,1.14691416,0.52821318,0.69724952,0.39513852,0.00000000
-4.94347174,2.40086728,0.00174594,0.15432799,0.50355356,1.23146898,0.54720051,0.74749757,0.40699342,0.00000000
-4.93746873,2.54891292,0.00184955,0.15986839,0.53579527,1.31638098,0.56454345,0.79773480,0.41760049,0.00000000
-4.93146573,2.69416563,0.00195766,0.16495050,0.56715634,1.40069203,0.57999485,0.84744237,0.42682946,0.00000000
-4.92546273,2.83491345,0.00206960,0.16950501,0.59720442,1.48339424,0.59333028,0.89610134,0.43457288,0.00000000
-4.91945973,2.96945128,0.00218472,0.17346759,0.62550803,1.56345002,0.60435301,0.94320346,0.44074775,0.00000000
-4.91345673,3.09611814,0.00230237,0.17678046,0.65164761,1.63981458,0.61289878,0.98826157,0.44529656,0.00000000
-4.90745373,3.21333484,0.00242191,0.17939384,0.67522683,1.71146021,0.61883989,1.03081934,0.44818769,0.00000000
-4.90145073,3.31964059,0.00254269,0.18126727,0.69588380,1.77740126,0.62208856,1.07045988,0.44941523,0.00000000
-4.89544772,3.41372710,0.00266407,0.18237082,0.71330163,1.83671909,0.62259943,1.10681294,0.44899816,0.00000000
-4.88944472,3.49446887,0.00278537,0.18268593,0.72721788,1.88858594,0.62037089,1.13956042,0.44697887,0.00000000
-4.88344172,3.56094856,0.00290590,0.18220611,0.73743261,1.93228684,0.61544533,1.16843995,0.44342114,0.00000000
-4.87743872,3.61247654,0.00302492,0.18093714,0.74381465,1.96723877,0.60790814,1.19324670,0.43840764,0.00000000
-4.87143572,3.64860410,0.00314165,0.17889708,0.74630584,1.99300642,0.59788562,1.21383332,0.43203697,0.00000000
-4.86543272,3.66912996,0.00325523,0.17611585,0.74492313,2.00931392,0.58554167,1.23010827,0.42442058,0.00000000
-4.85942971,3.67410047,0.00336476,0.17263446,0.73975845,2.01605238,0.57107364,1.24203277,0.41567939,0.00000000
-4.85342671,3.66380361,0.00346925,0.16850404,0.73097656,2.01328309,0.55470735,1.24961692,0.40594057,0.00000000
-4.84742371,3.63875778,0.00356763,0.16378455,0.71881083,2.00123638,0.53669154,1.25291504,0.39533442,0.00000000
-4.84142071,3.59969609,0.00365881,0.15854334,0.70355741,1.98030646,0.51729204,1.25202109,0.38399157,0.00000000
-4.83541771,3.54754733,0.00374160,0.15285357,0.68556788,1.95104262,0.49678583,1.24706421,0.37204065,0.00000000
-4.82941471,3.48341461,0.00381482,0.14679266,0.66524093,1.91413727,0.47545533,1.23820490,0.35960636,0.00000000
-4.82341171,3.40855276,0.00387726,0.14044064,0.64301322,1.87041148,0.45358298,1.22563217,0.34680824,0.00000000
-4.81740870,3.32434530,0.00392776,0.13387869,0.61934990,1.82079833,0.43144643,1.20956156,0.33375993,0.00000000
-4.81140570,3.23228181,0.00396520,0.12718776,0.59473504,1.76632501,0.40931438,1.19023444,0.32056907,0.00000000
-4.80540270,3.13393612,0.00398860,0.12044731,0.56966219,1.70809379,0.38744321,1.16791811,0.30733766,0.00000000
-4.79939970,3.03094562,0.00399710,0.11373434,0.54462542,1.64726258,0.36607429,1.14290687,0.29416295,0.00000000
-4.79339670,2.92499159,0.00399005,0.10712245,0.52011086,1.58502521,0.34543216,1.11552343,0.28113854,0.00000000
-4.78739370,2.81778051,0.00396704,0.10068125,0.49658886,1.52259185,0.32572322,1.08612056,0.26835576,0.00000000
-4.78139070,2.71102591,0.00392792,0.09447577,0.47450690,1.46116954,0.30713513,1.05508238,0.25590503,0.00000000
-4.77538769,2.60643029,0.00387288,0.08856609,0.45428317,1.40194318,0.28983647,1.02282493,0.24387722,0.00000000
-4.76938469,2.50566683,0.00380239,0.08300704,0.43630088,1.34605674,0.27397683,0.98979563,0.23236461,0.00000000
-4.76338169,2.41036024,0.00371732,0.07784797,0.42090317,1.29459510,0.25968691,0.95647130,0.22146169,0.00000000
-4.75737869,2.32206669,0.00361885,0.07313254,0.40838876,1.24856629,0.24707877,0.92335449,0.21126535,0.00000000
-4.75137569,2.24225258,0.00350852,0.06889851,0.39900818,1.20888439,0.23624587,0.89096794,0.20187461,0.00000000
-4.74537269,2.17227236,0.00338818,0.06517758,0.39296064,1.17635330,0.22726311,0.85984730,0.19338987,0.00000000
-4.73936968,2.11334565,0.00325996,0.06199512,0.39039159,1.15165154,0.22018664,0.83053210,0.18591147,0.00000000
-4.73336668,2.06653417,0.00312623,0.05936996,0.39139106,1.13531836,0.21505356,0.80355530,0.17953793,0.00000000
