energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up
-4.87743872,3.28812311,0.42850389,2.65092572,0.13019393,0.00895555,0.12823587,0.38868362
-4.87143572,3.26861112,0.44143213,2.61395099,0.13527807,0.00914046,0.13092907,0.39860621
-4.86543272,3.24423416,0.45335772,2.57351939,0.14008790,0.00930259,0.13330475,0.40727326
-4.85942971,3.21424824,0.46418774,2.52906592,0.14459396,0.00944009,0.13534163,0.41453751
-4.85342671,3.17807229,0.47385763,2.48014919,0.14877504,0.00955177,0.13702707,0.42028127
-4.84742371,3.13531205,0.48233198,2.42647304,0.15261838,0.00963707,0.13835737,0.42441849
-4.84142071,3.08577487,0.48960412,2.36790066,0.15611962,0.00969607,0.13933766,0.42689587
-4.83541771,3.02947489,0.49569452,2.30446084,0.15928226,0.00972942,0.13998147,0.42769295
-4.82941471,2.96662890,0.50064807,2.23634630,0.16211696,0.00973831,0.14030985,0.42682127
-4.82341171,2.89764358,0.50453045,2.16390464,0.16464048,0.00972437,0.14035031,0.42432264
-4.81740870,2.82309497,0.50742381,2.08762272,0.16687438,0.00968956,0.14013539,0.42026674
-4.81140570,2.74370172,0.50942188,2.00810553,0.16884361,0.00963606,0.13970114,0.41474797
-4.80540270,2.66029370,0.51062490,1.92605094,0.17057497,0.00956621,0.13908539,0.40788190
-4.79939970,2.57377761,0.51113454,1.84222178,0.17209547,0.00948235,0.13832609,0.39980136
-4.79339670,2.48510155,0.51104902,1.75741668,0.17343081,0.00938676,0.13745957,0.39065227
-4.78739370,2.39522007,0.51045863,1.67244117,0.17460386,0.00928156,0.13651903,0.38058951
-4.78139070,2.30506129,0.50944199,1.58808033,0.17563332,0.00916865,0.13553312,0.36977273
-4.77538769,2.21549753,0.50806289,1.50507420,0.17653259,0.00904965,0.13452483,0.35836246
-4.76938469,2.12732030,0.50636809,1.42409673,0.17730886,0.00892589,0.13351058,0.34651646
-4.76338169,2.04122060,0.50438600,1.34573906,0.17796247,0.00879834,0.13249970,0.33438635
-4.75737869,1.95777483,0.50212616,1.27049744,0.17848663,0.00866768,0.13149419,0.32211483
-4.75137569,1.87743647,0.49957972,1.19876593,0.17886742,0.00853424,0.13048887,0.30983323
-4.74537269,1.80053346,0.49672068,1.13083377,0.17908415,0.00839810,0.12947178,0.29765963
-4.73936968,1.72727075,0.49350777,1.06688709,0.17910999,0.00825908,0.12842497,0.28569748
-4.73336668,1.65773758,0.48988707,1.00701443,0.17891301,0.00811677,0.12732546,0.27403469
-4.72736368,1.59191858,0.48579502,0.95121546,0.17845738,0.00797065,0.12614651,0.26274326
-4.72136068,1.52970794,0.48116182,0.89941214,0.17770487,0.00782005,0.12485901,0.25187932
-4.71535768,1.47092580,0.47591500,0.85146166,0.17661651,0.00766428,0.12343295,0.24148362
-4.70935468,1.41533573,0.46998311,0.80717021,0.17515436,0.00750260,0.12183900,0.23158229
-4.70335168,1.36266271,0.46329929,0.76630714,0.17328332,0.00733436,0.12005002,0.22218809
-4.69734867,1.31261062,0.45580475,0.72861856,0.17097291,0.00715893,0.11804248,0.21330170
-4.69134567,1.26487860,0.44745184,0.69384012,0.16819891,0.00697584,0.11579778,0.20491332
-4.68534267,1.21917573,0.43820679,0.66170824,0.16494487,0.00678474,0.11330330,0.19700441
-4.67933967,1.17523352,0.42805195,0.63196975,0.16120333,0.00658545,0.11055333,0.18954940
-4.67333667,1.13281599,0.41698750,0.60438954,0.15697672,0.00637796,0.10754961,0.18251752
-4.66733367,1.09172700,0.40503250,0.57875611,0.15227794,0.00616249,0.10430167,0.17587455
-4.66133067,1.05181506,0.39222541,0.55488528,0.14713051,0.00593942,0.10082681,0.16958448
-4.65532766,1.01297535,0.37862387,0.53262177,0.14156839,0.00570936,0.09714986,0.16361107
-4.64932466,0.97514945,0.36430398,0.51183926,0.13563535,0.00547310,0.09330260,0.15791927
-4.64332166,0.93832281,0.34935888,0.49243879,0.12938403,0.00523161,0.08932295,0.15247643
-4.63731866,0.90252039,0.33389690,0.47434600,0.12287467,0.00498605,0.08525398,0.14725339
-4.63131566,0.86780079,0.31803920,0.45750746,0.11617354,0.00473768,0.08114266,0.14222523
-4.62531266,0.83424933,0.30191707,0.44188633,0.10935125,0.00448791,0.07703859,0.13737191
-4.61930965,0.80197041,0.28566891,0.42745773,0.10248087,0.00423822,0.07299260,0.13267866
-4.61330665,0.77107956,0.26943709,0.41420396,0.09563610,0.00399016,0.06905527,0.12813605
-4.60730365,0.74169551,0.25336469,0.40211002,0.08888932,0.00374528,0.06527563,0.12374000
-4.60130065,0.71393270,0.23759233,0.39115941,0.08230993,0.00350512,0.06169972,0.11949140
-4.59529765,0.68789439,0.22225506,0.38133046,0.07596269,0.00327119,0.05836950,0.11539566
-4.58929465,0.66366660,0.20747951,0.37259338,0.06990636,0.00304488,0.05532167,0.11146199
-4.58329165,0.64131317,0.19338131,0.36490795,0.06419254,0.00282751,0.05258690,0.10770264
-4.57728864,0.62087190,0.18006286,0.35822201,0.05886486,0.00262022,0.05018913,0.10413190
-4.57128564,0.60235195,0.16761152,0.35247067,0.05395830,0.00242401,0.04814509,0.10076509
-4.56528264,0.58573240,0.15609818,0.34757629,0.04949894,0.00223969,0.04646417,0.09761753
-4.55927964,0.57096210,0.14557635,0.34344905,0.04550387,0.00206789,0.04514841,0.09470351
-4.55327664,0.55796056,0.13608163,0.33998817,0.04198137,0.00190903,0.04419277,0.09203529
-4.54727364,0.54662000,0.12763168,0.33708361,0.03893132,0.00176333,0.04358562,0.08962221
-4.54127064,0.53680821,0.12022662,0.33461822,0.03634575,0.00163084,0.04330941,0.08747002
-4.53526763,0.52837231,0.11384974,0.33247016,0.03420956,0.00151141,0.04334152,0.08558031
-4.52926463,0.52114311,0.10846873,0.33051563,0.03250135,0.00140472,0.04365521,0.08395015
-4.52326163,0.51493993,0.10403709,0.32863167,0.03119431,0.00131031,0.04422071,0.08257206
-4.51725863,0.50957583,0.10049589,0.32669907,0.03025717,0.00122761,0.04500633,0.08143404
-4.51125563,0.50486285,0.09777569,0.32460522,0.02965517,0.00115593,0.04597953,0.08052003
-4.50525263,0.50061734,0.09579870,0.32224690,0.02935103,0.00109450,0.04710802,0.07981035
-4.49924962,0.49666497,0.09448096,0.31953281,0.02930588,0.00104250,0.04836071,0.07928249
-4.49324662,0.49284542,0.09373458,0.31638595,0.02948015,0.00099909,0.04970856,0.07891194
-4.48724362,0.48901649,0.09346997,0.31274555,0.02983444,0.00096342,0.05112518,0.07867312
-4.48124062,0.48505750,0.09359794,0.30856872,0.03033025,0.00093464,0.05258735,0.07854027
-4.47523762,0.48087184,0.09403168,0.30383155,0.03093064,0.00091194,0.05407520,0.07848846
-4.46923462,0.47638868,0.09468851,0.29852973,0.03160089,0.00089455,0.05557228,0.07849432
-4.46323162,0.47156353,0.09549139,0.29267867,0.03230890,0.00088173,0.05706527,0.07853681
-4.45722861,0.46637790,0.09637016,0.28631294,0.03302560,0.00087284,0.05854366,0.07859771
-4.45122561,0.46083793,0.09726240,0.27948520,0.03372524,0.00086725,0.05999911,0.07866196
-4.44522261,0.45497198,0.09811405,0.27226451,0.03438549,0.00086442,0.06142478,0.07871784
-4.43921961,0.44882751,0.09887967,0.26473409,0.03498758,0.00086385,0.06281455,0.07875681
-4.43321661,0.44246714,0.09952238,0.25698862,0.03551620,0.00086509,0.06416224,0.07877335
-4.42721361,0.43596431,0.10001357,0.24913111,0.03595939,0.00086775,0.06546081,0.07876447
-4.42121061,0.42939857,0.10033233,0.24126945,0.03630841,0.00087146,0.06670176,0.07872920
-4.41520760,0.42285082,0.10046477,0.23351283,0.03655743,0.00087588,0.06787458,0.07866796
-4.40920460,0.41639876,0.10040318,0.22596801,0.03670335,0.00088069,0.06896640,0.07858194
-4.40320160,0.41011268,0.10014511,0.21873581,0.03674544,0.00088558,0.06996192,0.07847243
-4.39719860,0.40405191,0.09969251,0.21190777,0.03668515,0.00089027,0.07084350,0.07834032
-4.39119560,0.39826206,0.09905093,0.20556319,0.03652579,0.00089446,0.07159149,0.07818562
-4.38519260,0.39277313,0.09822873,0.19976675,0.03627239,0.00089786,0.07218479,0.07800720
-4.37918959,0.38759878,0.09723656,0.19456665,0.03593151,0.00090021,0.07260161,0.07780264
-4.37318659,0.38273646,0.09608694,0.18999359,0.03551111,0.00090122,0.07282033,0.07756832
-4.36718359,0.37816878,0.09479398,0.18606039,0.03502051,0.00090064,0.07282044,0.07729966
-4.36118059,0.37386569,0.09337334,0.18276249,0.03447035,0.00089822,0.07258362,0.07699150
-4.35517759,0.36978757,0.09184228,0.18007913,0.03387263,0.00089374,0.07209464,0.07663874
-4.34917459,0.36588897,0.09021986,0.17797533,0.03324075,0.00088700,0.07134228,0.07623692
-4.34317159,0.36212285,0.08852720,0.17640441,0.03258951,0.00087784,0.07032010,0.07578303
-4.33716858,0.35844497,0.08678777,0.17531110,0.03193515,0.00086615,0.06902700,0.07527627
-4.33116558,0.35481840,0.08502769,0.17463488,0.03129539,0.00085185,0.06746759,0.07471878
