energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.56178089,1.37646580,0.11726575,0.01619801,0.08564148,0.09477351,0.43710139,0.00547205,0.82695144
-5.55577789,1.43115831,0.12121988,0.01709243,0.08447245,0.09874678,0.45544558,0.00604489,0.86080527
-5.54977489,1.49150998,0.12535511,0.01847964,0.08371834,0.10377430,0.47562012,0.00666540,0.89753283
-5.54377189,1.55665456,0.12958780,0.02035314,0.08335273,0.10979251,0.49734877,0.00733227,0.93659559
-5.53776888,1.62566095,0.13382715,0.02270853,0.08334156,0.11674143,0.52033725,0.00804392,0.97741291
-5.53176588,1.69754968,0.13797782,0.02554225,0.08364499,0.12456304,0.54427829,0.00879834,1.01937339
-5.52576288,1.77131045,0.14194264,0.02885032,0.08421932,0.13320013,0.56885687,0.00959308,1.06184693
-5.51975988,1.84592033,0.14562537,0.03262710,0.08501872,0.14259536,0.59375574,0.01042509,1.10419723
-5.51375688,1.92036207,0.14893326,0.03686425,0.08599675,0.15269104,0.61866083,0.01129072,1.14579432
-5.50775388,1.99364244,0.15177954,0.04154988,0.08710775,0.16342926,0.64326680,0.01218561,1.18602692
-5.50175088,2.06481017,0.15408556,0.04666795,0.08830795,0.17475266,0.66728243,0.01310475,1.22431435
-5.49574787,2.13297371,0.15578278,0.05219807,0.08955635,0.18660590,0.69043606,0.01404245,1.26011795
-5.48974487,2.19731853,0.15681429,0.05811558,0.09081549,0.19893769,0.71248092,0.01499242,1.29295185
-5.48374187,2.25712421,0.15713606,0.06439212,0.09205201,0.21170367,0.73320057,0.01594786,1.32239311
-5.47773887,2.31178112,0.15671784,0.07099660,0.09323711,0.22486981,0.75241423,0.01690160,1.34809109
-5.47173587,2.36080675,0.15554362,0.07789661,0.09434699,0.23841661,0.76998212,0.01784632,1.36977606
-5.46573287,2.40386145,0.15361180,0.08506019,0.09536328,0.25234375,0.78581072,0.01877472,1.38726694
-5.45972986,2.44076327,0.15093491,0.09245795,0.09627345,0.26667519,0.79985776,0.01967981,1.40047796
-5.45372686,2.47150141,0.14753910,0.10006550,0.09707133,0.28146448,0.81213684,0.02055520,1.40942416
-5.44772386,2.49624784,0.14346325,0.10786596,0.09775761,0.29680000,0.82272145,0.02139533,1.41422543
-5.44172086,2.51536619,0.13875783,0.11585253,0.09834038,0.31281001,0.83174796,0.02219584,1.41510884
-5.43571786,2.52941728,0.13348346,0.12403091,0.09883571,0.32966688,0.83941759,0.02295377,1.41240894
-5.42971486,2.53916041,0.12770934,0.13242154,0.09926806,0.34759053,0.84599670,0.02366784,1.40656584
-5.42371186,2.54554974,0.12151150,0.14106128,0.09967065,0.36685043,0.85181540,0.02433864,1.39812072
-5.41770885,2.54972492,0.11497087,0.15000464,0.10008556,0.38776598,0.85726396,0.02496876,1.38770861
-5.41170585,2.55299570,0.10817139,0.15932419,0.10056361,0.41070502,0.86278708,0.02556289,1.37604838
-5.40570285,2.55682005,0.10119803,0.16911027,0.10116382,0.43608010,0.86887574,0.02612776,1.36392985
-5.39969985,2.56277595,0.09413492,0.17946970,0.10195251,0.46434241,0.87605665,0.02667210,1.35219824
-5.39369685,2.57252702,0.08706357,0.19052364,0.10300194,0.49597346,0.88487955,0.02720644,1.34173609
-5.38769385,2.58778282,0.08006120,0.20240450,0.10438847,0.53147423,0.89590240,0.02774288,1.33344317
-5.38169085,2.61025454,0.07319929,0.21525203,0.10619028,0.57135236,0.90967511,0.02829473,1.32821477
-5.37568784,2.64160762,0.06654238,0.22920862,0.10848470,0.61610741,0.92672204,0.02887619,1.32691907
-5.36968484,2.68341257,0.06014709,0.24441406,0.11134517,0.66621462,0.94752403,0.02950185,1.33037424
-5.36368184,2.73709586,0.05406146,0.26099987,0.11483802,0.72210788,0.97250065,0.03018627,1.33932607
-5.35767884,2.80389261,0.04832450,0.27908349,0.11901907,0.78416235,1.00199327,0.03094353,1.35442683
