energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-0.74137069,3.39356203,0.00337345,0.85572802,0.07700422,1.36137555,1.99798253,0.06769366,0.45740860
-0.73536768,3.35055821,0.00338932,0.85125093,0.07482418,1.33381676,1.96820691,0.06710607,0.44793549
-0.72936468,3.29402457,0.00339345,0.84327603,0.07239562,1.30104193,1.93044658,0.06624280,0.43671356
-0.72336168,3.22478604,0.00338524,0.83191738,0.06975184,1.26355924,1.88527493,0.06511569,0.42388674
-0.71735868,3.14389240,0.00336421,0.81736008,0.06692725,1.22195302,1.83338611,0.06374069,0.40962857
-0.71135568,3.05260069,0.00333001,0.79985871,0.06395667,1.17687198,1.77558340,0.06213777,0.39413705
-0.70535268,2.95235838,0.00328244,0.77973553,0.06087469,1.12901845,1.71276804,0.06033076,0.37762968
-0.69934967,2.84478705,0.00322153,0.75737850,0.05771515,1.07913878,1.64592860,0.05834713,0.36033901
-0.69334667,2.73166654,0.00314747,0.73323878,0.05451077,1.02801488,1.57613084,0.05621784,0.34250868
-0.68734367,2.61491894,0.00306073,0.70782766,0.05129288,0.97645674,1.50450778,0.05397703,0.32438975
-0.68134067,2.49659216,0.00296197,0.68171278,0.04809119,0.92529578,1.43224987,0.05166178,0.30623760
-0.67533767,2.37884241,0.00285211,0.65551345,0.04493367,0.87537876,1.36059482,0.04931172,0.28830902
-0.66933467,2.26391490,0.00273230,0.62989484,0.04184649,0.82756186,1.29081690,0.04696865,0.27085973
-0.66333167,2.15412252,0.00260387,0.60556097,0.03885391,0.78270470,1.22421531,0.04467602,0.25414193
-0.65732866,2.05182150,0.00246835,0.58324639,0.03597828,0.74166387,1.16210131,0.04247841,0.23840207
-0.65132566,1.95938395,0.00232740,0.56370634,0.03323999,0.70528569,1.10578382,0.04042088,0.22387860
-0.64532266,1.87916673,0.00218280,0.54770534,0.03065737,0.67439780,1.05655337,0.03854831,0.21079964
-0.63931966,1.81347642,0.00203635,0.53600428,0.02824666,0.64979945,1.01566401,0.03690460,0.19938057
-0.63331666,1.76453031,0.00188989,0.52934588,0.02602189,0.63225026,0.98431332,0.03553186,0.18982139
