energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-1.80990495,8.33808716,-10.17857187,0.05895667,-0.15233262,0.45186263,-1.20753278,3.99976972,-5.70300543,4.01656588,-2.57681057,0.10845346,-0.21185161,3.91437585,-6.61985985
-1.80390195,8.31678792,-10.08917072,0.05717353,-0.15200303,0.44952154,-1.16546001,3.96301869,-5.57812023,4.03368547,-2.58393051,0.10677721,-0.21072615,3.88347484,-6.58177887
-1.79789895,8.28220152,-9.98345228,0.05530318,-0.15083284,0.44708622,-1.12197611,3.91602458,-5.43941436,4.04232604,-2.59068969,0.10558946,-0.20881091,3.84758988,-6.53158743
-1.79189595,8.23486525,-9.86392289,0.05337174,-0.14883441,0.44460857,-1.07769746,3.85917868,-5.29002509,4.04244995,-2.59705325,0.10491348,-0.20615862,3.80722371,-6.47101886
-1.78589295,8.17550101,-9.73337857,0.05140442,-0.14603621,0.44214327,-1.03327307,3.79305786,-5.13328934,4.03415246,-2.60301104,0.10476266,-0.20283548,3.76294218,-6.40200428
-1.77988994,8.10500100,-9.59477227,0.04942472,-0.14248233,0.43974604,-0.98936248,3.71841066,-4.97264570,4.01766184,-2.60855001,0.10514044,-0.19891873,3.71536099,-6.32658595
-1.77388694,8.02440643,-9.45108564,0.04745393,-0.13823151,0.43747152,-0.94661456,3.63613781,-4.81153801,3.99333454,-2.61362987,0.10604039,-0.19449393,3.66512983,-6.24683314
-1.76788394,7.93487935,-9.30521109,0.04551070,-0.13335573,0.43537082,-0.90564785,3.54726766,-4.65332384,3.96164500,-2.61816351,0.10744641,-0.18965210,3.61291461,-6.16476403
-1.76188094,7.83766816,-9.15984873,0.04361078,-0.12793833,0.43348889,-0.86703325,3.45292781,-4.50119086,3.92317032,-2.62200311,0.10933310,-0.18448680,3.55937805,-6.08227705
-1.75587794,7.73406814,-9.01742212,0.04176694,-0.12207188,0.43186200,-0.83127934,3.35431400,-4.35808382,3.87857012,-2.62493290,0.11166612,-0.17909133,3.50515966,-6.00109398
-1.74987494,7.62537858,-8.88001539,0.03998898,-0.11585577,0.43051522,-0.79882087,3.25265776,-4.22664365,3.82856246,-2.62666870,0.11440276,-0.17355606,3.45085582,-5.92271685
-1.74387194,7.51285871,-8.74933298,0.03828394,-0.10939359,0.42946043,-0.77001044,3.14919433,-4.10916011,3.77389698,-2.62686425,0.11749252,-0.16796609,3.39700113,-5.84839943
-1.73786893,7.39768470,-8.62668194,0.03665628,-0.10279055,0.42869477,-0.74511348,3.04513222,-4.00753815,3.71532658,-2.62512381,0.12087788,-0.16239924,3.34405185,-5.77913321
-1.73186593,7.28091046,-8.51297543,0.03510828,-0.09615080,0.42819984,-0.72430639,2.94162590,-3.92327779,3.65357940,-2.62102008,0.12449508,-0.15692444,3.29237261,-5.71564735
-1.72586293,7.16343438,-8.40875468,0.03364034,-0.08957500,0.42794180,-0.70767754,2.83975261,-3.85746659,3.58933249,-2.61411614,0.12827513,-0.15160059,3.24222718,-5.65842050
-1.71985993,7.04597442,-8.31422620,0.03225140,-0.08315797,0.42787232,-0.69523083,2.74049434,-3.81078327,3.52318885,-2.60398994,0.13214492,-0.14647586,3.19377394,-5.60770268
-1.71385693,6.92905328,-8.22930965,0.03093924,-0.07698668,0.42793050,-0.68689128,2.64472545,-3.78351088,3.45565920,-2.59025958,0.13602846,-0.14158744,3.14706659,-5.56354418
-1.70785393,6.81299461,-8.15369213,0.02970089,-0.07113850,0.42804578,-0.68251234,2.55320623,-3.77555737,3.38714959,-2.57260763,0.13984832,-0.13696166,3.10206024,-5.52582858
-1.70185093,6.69793101,-8.08688413,0.02853288,-0.06567982,0.42814156,-0.68188422,2.46658217,-3.78648194,3.31795545,-2.55080272,0.14352712,-0.13261454,3.05862266,-5.49430715
-1.69584792,6.58382332,-8.02827302,0.02743149,-0.06066500,0.42813951,-0.68474303,2.38538864,-3.81552505,3.24826251,-2.52471705,0.14698920,-0.12855249,3.01655027,-5.46863155
-1.68984492,6.47049015,-7.97717035,0.02639294,-0.05613575,0.42796428,-0.69078009,2.31005988,-3.86164083,3.17815439,-2.49433834,0.15016237,-0.12477341,2.97558806,-5.44838294
-1.68384192,6.35764604,-7.93285049,0.02541354,-0.05212081,0.42754840,-0.69965125,2.24094160,-3.92353054,3.10762616,-2.45977561,0.15297955,-0.12126776,2.93545233,-5.43309552
-1.67783892,6.24494553,-7.89457866,0.02448982,-0.04863599,0.42683692,-0.71098587,2.17830557,-3.99967635,3.03660302,-2.42125815,0.15538056,-0.11801981,2.89585498,-5.42227362
-1.67183592,6.13203068,-7.86162812,0.02361855,-0.04568452,0.42579170,-0.72439537,2.12236517,-4.08837507,2.96496271,-2.37912788,0.15731364,-0.11500889,2.85652793,-5.41540213
-1.66583292,6.01857849,-7.83328684,0.02279680,-0.04325768,0.42439487,-0.73948113,2.07329023,-4.18777175,2.89256005,-2.33382550,0.15873690,-0.11221053,2.81724615,-5.41195072
-1.65982991,5.90434552,-7.80885536,0.02202199,-0.04133573,0.42265130,-0.75584195,2.03122009,-4.29589341,2.81925209,-2.28587142,0.15961946,-0.10959761,2.77784787,-5.41137296
-1.65382691,5.78920634,-7.78763814,0.02129187,-0.03988892,0.42058980,-0.77308081,1.99627358,-4.41068333,2.74492210,-2.23584260,0.15994231,-0.10714129,2.73825078,-5.41310193
-1.64782391,5.67318354,-7.76893108,0.02060459,-0.03887884,0.41826297,-0.79081122,1.96855511,-4.53003618,2.66950098,-2.18434695,0.15969881,-0.10481197,2.69846299,-5.41654421
-1.64182091,5.55646723,-7.75200841,0.01995869,-0.03825974,0.41574555,-0.80866319,1.94815627,-4.65183442,2.59298473,-2.13199677,0.15889482,-0.10257997,2.65858819,-5.42107429
-1.63581791,5.43942273,-7.73611167,0.01935317,-0.03798007,0.41313137,-0.82628870,1.93515271,-4.77398591,2.51544716,-2.07938306,0.15754838,-0.10041621,2.61882459,-5.42603107
-1.62981491,5.32258622,-7.72044326,0.01878756,-0.03798400,0.41052897,-0.84336689,1.92959640,-4.89446248,2.43704711,-2.02705195,0.15568903,-0.09829275,2.57945765,-5.43071823
-1.62381191,5.20664867,-7.70416634,0.01826200,-0.03821302,0.40805606,-0.85960874,1.93150395,-5.01133872,2.35803020,-1.97548486,0.15335673,-0.09618325,2.54084711,-5.43440917
-1.61780890,5.09242936,-7.68641205,0.01777732,-0.03860752,0.40583318,-0.87476133,1.94084160,-5.12282994,2.27872510,-1.92508317,0.15060044,-0.09406339,2.50340911,-5.43635719
-1.61180590,4.98084103,-7.66629393,0.01733513,-0.03910831,0.40397684,-0.88861130,1.95750832,-5.22732787,2.19953525,-1.87615809,0.14747650,-0.09191125,2.46759461,-5.43581055
-1.60580290,4.87284924,-7.64292862,0.01693800,-0.03965806,0.40259253,-0.90098750,1.98131816,-5.32343218,2.12092660,-1.82892607,0.14404673,-0.08970761,2.43386538,-5.43203151
-1.59979990,4.76942871,-7.61546125,0.01658951,-0.04020271,0.40176795,-0.91176255,2.01198343,-5.40997627,2.04341280,-1.78350941,0.14037652,-0.08743627,2.40266938,-5.42431808
-1.59379690,4.67152006,-7.58309297,0.01629436,-0.04069263,0.40156702,-0.92085311,2.04910034,-5.48604520,1.96753887,-1.73994178,0.13653281,-0.08508431,2.37441677,-5.41202645
-1.58779390,4.57998967,-7.54510794,0.01605851,-0.04108368,0.40202484,-0.92821863,2.09213831,-5.55098440,1.89386472,-1.69817758,0.13258228,-0.08264233,2.34945848,-5.39459235
-1.58179090,4.49559555,-7.50089710,0.01588919,-0.04133809,0.40314401,-0.93385858,2.14043436,-5.60439786,1.82294971,-1.65810446,0.12858954,-0.08010460,2.32806838,-5.37154903
-1.57578789,4.41896144,-7.44997599,0.01579501,-0.04142508,0.40489257,-0.93780805,2.19319354,-5.64613526,1.75533929,-1.61955751,0.12461569,-0.07746917,2.31043032,-5.34254025
-1.56978489,4.35056073,-7.39199463,0.01578591,-0.04132128,0.40720367,-0.94013182,2.24949594,-5.67626807,1.69155442,-1.58233432,0.12071708,-0.07473784,2.29663079,-5.30732674
-1.56378189,4.29071107,-7.32673816,0.01587315,-0.04101089,0.40997699,-0.94091707,2.30831050,-5.69505556,1.63208438,-1.54620955,0.11694437,-0.07191610,2.28665751,-5.26578536
-1.55777889,4.23957957,-7.25411776,0.01606925,-0.04048563,0.41308195,-0.94026510,2.36851546,-5.70290226,1.57738301,-1.51094829,0.11334194,-0.06901290,2.28040390,-5.21790066
-1.55177589,4.19719805,-7.17415243,0.01638778,-0.03974447,0.41636246,-0.93828246,2.42892472,-5.70030931,1.52786844,-1.47631739,0.10994762,-0.06604034,2.27767913,-5.16374944
-1.54577289,4.16348672,-7.08694292,0.01684323,-0.03879309,0.41964307,-0.93507188,2.48831911,-5.68782247,1.48392562,-1.44209449,0.10679267,-0.06301326,2.27822269,-5.10347944
-1.53976988,4.13828418,-6.99264041,0.01745072,-0.03764321,0.42273607,-0.93072369,2.54548117,-5.66598023,1.44591127,-1.40807427,0.10390202,-0.05994867,2.28172261,-5.03728395
-1.53376688,4.12138134,-6.89141241,0.01822564,-0.03631179,0.42544933,-0.92530822,2.59923179,-5.63526537,1.41416010,-1.37407236,0.10129472,-0.05686521,2.28783585,-4.96537443
-1.52776388,4.11255637,-6.78340948,0.01918327,-0.03482002,0.42759432,-0.91886971,2.64846696,-5.59606339,1.38899157,-1.33992697,0.09898447,-0.05378253,2.29620939,-4.88795378
-1.52176088,4.11160794,-6.66873578,0.02033834,-0.03319236,0.42899401,-0.91142219,2.69219270,-5.54863071,1.37071609,-1.30549873,0.09698033,-0.05072056,2.30650063,-4.80519240
-1.51575788,4.11838393,-6.54742667,0.02170446,-0.03145547,0.42949022,-0.90294768,2.72955666,-5.49307516,1.35963973,-1.27066946,0.09528730,-0.04769898,2.31839561,-4.71720964
-1.50975488,4.13280355,-6.41943577,0.02329358,-0.02963718,0.42894997,-0.89339691,2.75987445,-5.42935021,1.35606657,-1.23534025,0.09390697,-0.04473656,2.33162391,-4.62406216
-1.50375188,4.15487065,-6.28463324,0.02511539,-0.02776553,0.42727073,-0.88269269,2.78264966,-5.35726374,1.36029817,-1.19942972,0.09283804,-0.04185071,2.34596912,-4.52574076
-1.49774887,4.18467735,-6.14281623,0.02717667,-0.02586788,0.42438415,-0.87073559,2.79758659,-5.27650092,1.37262963,-1.16287262,0.09207675,-0.03905705,2.36127435,-4.42217606
-1.49174587,4.22239724,-5.99373103,0.02948073,-0.02397016,0.42025819,-0.85741198,2.80459491,-5.18665991,1.39334206,-1.12561950,0.09161716,-0.03636915,2.37744250,-4.31325313
