energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-5.74187094,0.41543294,0.13034489,0.00000000,0.06981966,0.26209003,0.00298794,0.05645522
-5.73586793,0.41013774,0.12489270,0.00000000,0.06473789,0.24693867,0.00262750,0.05994098
-5.72986493,0.40772641,0.12028768,0.00000000,0.06023799,0.23365558,0.00233510,0.06376965
-5.72386193,0.40792667,0.11649623,0.00000000,0.05629799,0.22218144,0.00210254,0.06786987
-5.71785893,0.41041398,0.11346684,0.00000000,0.05288830,0.21242320,0.00192189,0.07216307
-5.71185593,0.41481912,0.11113200,0.00000000,0.04997278,0.20425771,0.00178558,0.07656492
-5.70585293,0.42073712,0.10941040,0.00000000,0.04750996,0.19753619,0.00168653,0.08098687
-5.69984992,0.42773758,0.10820980,0.00000000,0.04545439,0.19208935,0.00161824,0.08533807
-5.69384692,0.43537610,0.10743005,0.00000000,0.04375815,0.18773328,0.00157481,0.08952740
-5.68784392,0.44320640,0.10696649,0.00000000,0.04237242,0.18427561,0.00155105,0.09346565
-5.68184092,0.45079299,0.10671346,0.00000000,0.04124916,0.18152199,0.00154243,0.09706778
-5.67583792,0.45772382,0.10656782,0.00000000,0.04034272,0.17928259,0.00154519,0.10025523
-5.66983492,0.46362259,0.10643245,0.00000000,0.03961158,0.17737847,0.00155627,0.10295809
-5.66383192,0.46816041,0.10621948,0.00000000,0.03901991,0.17564757,0.00157340,0.10511718
-5.65782891,0.47106628,0.10585329,0.00000000,0.03853912,0.17395028,0.00159509,0.10668586
-5.65182591,0.47213613,0.10527315,0.00000000,0.03814928,0.17217435,0.00162065,0.10763163
-5.64582291,0.47124024,0.10443538,0.00000000,0.03784040,0.17023901,0.00165020,0.10793721
-5.63981991,0.46832862,0.10331504,0.00000000,0.03761359,0.16809839,0.00168476,0.10760142
-5.63381691,0.46343443,0.10190710,0.00000000,0.03748195,0.16574392,0.00172620,0.10663945
-5.62781391,0.45667527,0.10022711,0.00000000,0.03747137,0.16320595,0.00177732,0.10508282
-5.62181091,0.44825227,0.09831133,0.00000000,0.03762108,0.16055439,0.00184188,0.10297879
-5.61580790,0.43844731,0.09621631,0.00000000,0.03798391,0.15789855,0.00192463,0.10038945
