energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.87993997,11.50674447,2.41357950,8.14054512,0.13183102,0.01056585,0.77166900,0.06185281,1.50316089
-5.87393697,11.60476085,2.40447433,8.23647268,0.13324682,0.01062699,0.76920717,0.06039715,1.50978518
-5.86793397,11.70082072,2.39282874,8.33107513,0.13501657,0.01071627,0.76835077,0.05918990,1.51529994
-5.86193097,11.79587958,2.37909645,8.42480647,0.13717694,0.01083534,0.76918933,0.05824418,1.51994059
-5.85592796,11.89112150,2.36380563,8.51825707,0.13976197,0.01098604,0.77180649,0.05757011,1.52400678
-5.84992496,11.98787411,2.34753925,8.61209923,0.14280093,0.01117030,0.77627603,0.05717446,1.52784547
-5.84392196,12.08751400,2.33091365,8.70702656,0.14631621,0.01138994,0.78265773,0.05706022,1.53183170
-5.83791896,12.19136619,2.31455615,8.80368947,0.15032125,0.01164654,0.79099282,0.05722633,1.53634799
-5.83191596,12.30060158,2.29908224,8.90262946,0.15481877,0.01194121,0.80129932,0.05766733,1.54176304
-5.82591296,12.41613657,2.28507321,9.00421483,0.15979924,0.01227450,0.81356724,0.05837314,1.54841075
-5.81990995,12.53853874,2.27305475,9.10858048,0.16523967,0.01264615,0.82775389,0.05932889,1.55657040
-5.81390695,12.66794261,2.26347705,9.21557465,0.17110289,0.01305504,0.84377940,0.06051484,1.56644871
-5.80790395,12.80397909,2.25669706,9.32471478,0.17733722,0.01349900,0.86152258,0.06190642,1.57816470
-5.80190095,12.94572191,2.25296325,9.43515489,0.18387660,0.01397481,0.88081757,0.06347442,1.59173781
-5.79589795,13.09165380,2.25240346,9.54566627,0.19064125,0.01447810,0.90145118,0.06518527,1.60707991
-5.78989495,13.23965457,2.25501604,9.65463299,0.19753876,0.01500341,0.92316147,0.06700147,1.62399155
-5.78389195,13.38701280,2.26066481,9.76006328,0.20446561,0.01554417,0.94563763,0.06888217,1.64216259
-5.77788894,13.53046180,2.26907806,9.85961727,0.21130914,0.01609285,0.96852149,0.07078388,1.66117735
-5.77188594,13.66623988,2.27985181,9.95065092,0.21794985,0.01664106,0.99141072,0.07266125,1.68052419
-5.76588294,13.79017404,2.29245755,10.03027571,0.22426396,0.01717973,1.01386408,0.07446803,1.69960908
-5.75987994,13.89778525,2.30625433,10.09543246,0.23012627,0.01769929,1.03540851,0.07615806,1.71777291
-5.75387694,13.98441266,2.32050533,10.14297752,0.23541312,0.01818994,1.05554821,0.07768626,1.73431186
-5.74787394,14.04535298,2.33439836,10.16977877,0.24000546,0.01864185,1.07377557,0.07900980,1.74850014
-5.74187094,14.07601067,2.34707004,10.17281814,0.24379187,0.01904546,1.08958355,0.08008908,1.75961431
-5.73586793,14.07205369,2.35763292,10.14929715,0.24667153,0.01939176,1.10247938,0.08088880,1.76695823
-5.72986493,14.02956908,2.36520474,10.09674146,0.24855700,0.01967252,1.11199891,0.08137889,1.76988786
